humidity,radiation
66.6,0.287
54.2,0.412
47.9,0.361
45.9,0.379
42,0.402
66,0.105
69.8,0.286
55.7,0.249
42.5,0.409
41.7,0.398
47.5,0.394
35.9,0.272
33.6,0.398
33.7,0.343
41.8,0.377
30.1,0.392
28,0.385
28.3,0.389
19.4,0.383
29.6,0.305
30.4,0.312
27,0.358
26.4,0.352
34.4,0.334
29.5,0.265
55.3,0.101
47.6,0.278
50.6,0.329
39,0.332
63.8,0.306
46.8,0.337
28.5,0.347
36.3,0.293
24.8,0.351
23.1,0.347
23,0.34
35.2,0.241
65.4,0.231
60.8,0.256
51.7,0.304
40.9,0.319
24.2,0.323
37.6,0.302
35.4,0.317
20.8,0.321
17.4,0.318
17.4,0.318
16.1,0.316
17.5,0.31
28.6,0.296
32.1,0.295
37.3,0.282
32.1,0.289
27.7,0.274
25.7,0.247
29.5,0.284
27.3,0.277
32.6,0.243
30.4,0.271
28.6,0.272
24.5,0.264
23.9,0.194
35.7,0.186
56.9,0.065
67.2,0.142
67.3,0.154
61.4,0.247
44.5,0.241
33.4,0.251
36.1,0.247
57,0.187
53.8,0.237
51.3,0.219
50,0.24
34.9,0.241
27.6,0.242
26.1,0.216
23.2,0.231
18.3,0.237
26.2,0.233
32.2,0.228
41,0.093
40.7,0.23
35.4,0.226
31,0.203
31.6,0.158
58.4,0.159
32.7,0.198
36.9,0.209
34.8,0.086
34.5,0.214
20.4,0.408
21.1,0.295
25,0.387
26.2,0.399
27.7,0.37
33.8,0.367
27.9,0.372
28.7,0.352
27,0.325
31.4,0.381
23.6,0.389
19.6,0.381
19.6,0.379
24.6,0.365
28.9,0.329
36.3,0.362
32.9,0.355
29.8,0.36
31.3,0.353
27.5,0.37
25.4,0.368
21.9,0.355
36.7,0.276
26.8,0.357
25.1,0.364
43.9,0.29
72.4,0.147
68.2,0.243
59.5,0.239
62.3,0.27
46.3,0.342
23.1,0.344
30.8,0.332
52.4,0.27
48.9,0.265
38.4,0.322
18.8,0.341
19,0.338
25.9,0.326
36.5,0.318
36,0.314
40.5,0.298
38.3,0.292
32.6,0.27
22.3,0.314
25.9,0.303
30.5,0.291
35.8,0.194
42.5,0.274
38.8,0.276
28.2,0.294
16.7,0.298
22.2,0.295
25.7,0.285
25.8,0.285
24.1,0.282
31.9,0.274
30.5,0.272
24.8,0.275
25.6,0.261
40.6,0.258
30.3,0.238
32.5,0.263
31.7,0.225
43.5,0.111
45.2,0.255
27.7,0.243
29.5,0.2
70.1,0.177
62.9,0.236
52.3,0.238
38.3,0.234
36.7,0.214
49.1,0.221
38.4,0.235
20.5,0.236
23.8,0.23
17.6,0.221
25.9,0.19
20.4,0.214
26.8,0.212
17.6,0.207
26.4,0.214
29.1,0.219
22.5,0.22
23.5,0.217
29.8,0.214
29,0.212
19.8,0.21
36.8,0.165
31.5,0.2
33.8,0.304
44.8,0.292
39.8,0.389
32.1,0.435
39.1,0.31
66.3,0.245
56.7,0.208
44.6,0.422
40.1,0.42
32.1,0.42
35.3,0.417
26.3,0.416
24.9,0.413
30.1,0.411
37.9,0.41
44.8,0.405
45.6,0.399
51.9,0.394
49.6,0.354
74.6,0.147
57.9,0.386
47.8,0.374
36.9,0.393
29.5,0.392
32,0.319
46.1,0.343
46,0.374
29.4,0.374
28.2,0.367
28.1,0.373
43.8,0.283
46.4,0.341
39.9,0.366
35.3,0.358
29.5,0.355
29.5,0.32
33,0.245
63.9,0.091
48.4,0.33
37.3,0.35
34,0.299
76.7,0.076
72.8,0.232
53.2,0.286
53.2,0.123
49.4,0.148
62.1,0.11
76,0.059
66.2,0.246
49.8,0.253
53.6,0.22
62.7,0.211
76.2,0.074
67.6,0.283
54.3,0.327
48.9,0.317
46.2,0.311
46.5,0.301
41.7,0.289
42.3,0.154
58.6,0.141
47.8,0.271
35.8,0.291
28.7,0.282
35.8,0.274
28,0.278
29.8,0.278
30.4,0.276
28.3,0.275
54.9,0.249
46.4,0.23
43.8,0.259
33.8,0.238
35.7,0.261
31.2,0.252
30.2,0.259
26.7,0.252
21.4,0.254
36.5,0.236
34.4,0.242
35.2,0.242
44.9,0.238
48.4,0.132
36,0.233
29.9,0.208
26.3,0.235
23.1,0.23
31.8,0.236
29.2,0.235
25.1,0.211
43.7,0.167
26.7,0.42
26.8,0.431
24,0.431
23.2,0.404
28.6,0.31
28.7,0.362
34.9,0.429
36.8,0.43
46.2,0.371
45.4,0.355
38.7,0.406
37,0.425
43.4,0.301
46.9,0.241
66.4,0.207
54.8,0.302
43,0.357
31,0.398
32.5,0.36
28.4,0.396
57.7,0.103
57.2,0.326
44.1,0.387
44,0.367
40.9,0.378
36.7,0.387
37.9,0.375
35.9,0.383
32.7,0.383
62.7,0.228
57.3,0.199
54.5,0.347
57.3,0.293
64.5,0.226
49.9,0.356
32.6,0.364
40.7,0.344
50.7,0.267
43,0.35
26.2,0.356
28.3,0.35
27.5,0.342
37.5,0.324
60,0.233
48.5,0.319
26.1,0.334
35.1,0.328
38.6,0.279
25.8,0.326
24.4,0.325
16,0.328
16,0.324
18.1,0.317
30.5,0.306
36.8,0.31
22.4,0.316
18.1,0.308
24.3,0.267
20.8,0.299
15.4,0.227
15.3,0.304
15.2,0.297
24.5,0.261
25.7,0.233
26,0.27
29.6,0.267
48.6,0.173
60.7,0.12
65.7,0.136
54.2,0.258
43.5,0.242
50.4,0.09
37.2,0.138
42.3,0.263
42.4,0.259
36.4,0.254
36.1,0.224
37,0.184
29.5,0.255
41.1,0.181
62.2,0.241
66.4,0.163
62.6,0.214
51.8,0.242
51.9,0.21
50,0.121
37.5,0.186
52.7,0.057
84.7,0.112
66.8,0.218
51.3,0.176
38.2,0.411
27.4,0.445
15.9,0.445
19.2,0.441
29.2,0.438
31.5,0.433
20,0.41
43.9,0.396
55.2,0.21
60.1,0.253
52.5,0.323
47.6,0.274
29.5,0.31
53.1,0.233
46.1,0.377
35.2,0.38
29.2,0.383
35.7,0.35
30.5,0.386
32.1,0.382
22.7,0.367
15.9,0.371
17.3,0.367
19.6,0.386
17.4,0.383
14.3,0.381
13,0.383
23.7,0.369
17.7,0.377
18.4,0.38
14.4,0.377
16,0.367
15.3,0.367
24.5,0.359
19.5,0.355
13.4,0.356
11.9,0.35
13,0.348
11.4,0.351
11.3,0.351
14,0.346
13.5,0.334
14.5,0.334
12.9,0.342
15.5,0.329
24.4,0.329
20.4,0.325
11.5,0.327
10.2,0.307
10.5,0.324
13.3,0.316
15.9,0.315
26.5,0.308
30.7,0.303
19.8,0.26
42.9,0.295
73.7,0.126
59.2,0.303
46.7,0.297
37.1,0.289
37.5,0.231
26.1,0.234
29.5,0.291
32.5,0.281
31.2,0.271
23.7,0.283
16.4,0.257
21,0.27
36.3,0.195
33.8,0.252
35.5,0.257
34.6,0.267
27.2,0.265
24,0.264
27.3,0.26
16.4,0.263
17.3,0.259
15.2,0.246
22.4,0.238
27.3,0.236
26.1,0.232
28.6,0.213
43.2,0.228
44.6,0.196
19.8,0.239
20.4,0.243
19.8,0.242
25.1,0.232
47.5,0.234
32.3,0.235
30.4,0.232
69.1,0.331
48.2,0.39
40.9,0.401
42.2,0.382
49.2,0.17
41.4,0.421
33,0.396
31.2,0.369
28.7,0.42
23.3,0.418
19.9,0.397
17.5,0.4
18.4,0.411
18.3,0.411
24.1,0.36
26.1,0.401
20.3,0.405
19.9,0.404
23.7,0.403
25.7,0.402
