humidity,wind
66.6,7.1
54.2,7.1
47.9,6.3
45.9,6.7
42,9
66,5.4
69.8,6.4
55.7,6.7
42.5,6.6
41.7,11.2
47.5,5.1
35.9,8
33.6,5.2
33.7,5.1
41.8,6.5
30.1,5.1
28,4.1
28.3,4.1
19.4,3.5
29.6,5.9
30.4,5.6
27,7.3
26.4,8.6
34.4,6.3
29.5,9
55.3,10.5
47.6,5
50.6,4.9
39,8.6
63.8,5.6
46.8,6
28.5,5.7
36.3,7.7
24.8,7.9
23.1,5.4
23,6.1
35.2,10.8
65.4,10.6
60.8,8.3
51.7,5
40.9,4.9
24.2,4.9
37.6,6.7
35.4,4
20.8,5.5
17.4,6.1
17.4,8.6
16.1,6.9
17.5,5.9
28.6,11.7
32.1,6.1
37.3,3.7
32.1,3
27.7,3.4
25.7,4.9
29.5,4.3
27.3,6
32.6,6.1
30.4,3.4
28.6,3.8
24.5,5
23.9,5.9
35.7,7.5
56.9,13.6
67.2,15
67.3,7.4
61.4,5
44.5,5.1
33.4,9.8
36.1,8.1
57,8.1
53.8,4.9
51.3,5.9
50,3.7
34.9,4.3
27.6,5.2
26.1,3.6
23.2,10
18.3,7
26.2,10.2
32.2,5
41,6.2
40.7,8.3
35.4,4.4
31,5.5
31.6,10.5
58.4,7.1
32.7,10.3
36.9,13.2
34.8,11.9
34.5,3.7
20.4,6.2
21.1,4.4
25,5.3
26.2,6
27.7,7.8
33.8,7
27.9,4
28.7,7.2
27,7.8
31.4,8.1
23.6,6.3
19.6,4
19.6,6
24.6,7.3
28.9,6.5
36.3,5.5
32.9,5.4
29.8,7.2
31.3,7.9
27.5,7.2
25.4,6
21.9,4.7
36.7,6.9
26.8,4.8
25.1,5.9
43.9,8.8
72.4,10.5
68.2,9.5
59.5,10.6
62.3,8.8
46.3,6.1
23.1,5.5
30.8,5.3
52.4,9.2
48.9,7.4
38.4,6.7
18.8,3.6
19,8.1
25.9,9.2
36.5,10.8
36,7.3
40.5,4.9
38.3,4.3
32.6,6.9
22.3,10.3
25.9,7.5
30.5,4.3
35.8,4.3
42.5,7
38.8,7.3
28.2,8.9
16.7,3.9
22.2,5.5
25.7,10.9
25.8,4.5
24.1,9.5
31.9,11.9
30.5,7.9
24.8,4.1
25.6,9
40.6,8
30.3,8.5
32.5,6.8
31.7,5.8
43.5,5
45.2,6.7
27.7,6.4
29.5,4.2
70.1,6.6
62.9,6.8
52.3,4.6
38.3,4.4
36.7,6.4
49.1,6.5
38.4,3.9
20.5,7.2
23.8,3.7
17.6,7.6
25.9,8.2
20.4,6.8
26.8,5.7
17.6,7.7
26.4,5.8
29.1,3.9
22.5,7.3
23.5,4
29.8,3.6
29,2.6
19.8,9.9
36.8,6.7
31.5,5.2
33.8,7
44.8,7.6
39.8,7.4
32.1,4.3
39.1,6.4
66.3,5.3
56.7,5.7
44.6,5.2
40.1,5.5
32.1,5.4
35.3,6.2
26.3,5.4
24.9,6.4
30.1,7.3
37.9,8.9
44.8,7.9
45.6,7.8
51.9,6.6
49.6,7.4
74.6,5
57.9,8
47.8,6.1
36.9,3.6
29.5,3.6
32,6.4
