nitrogen,ozone
6.7,34
5.4,38
4.4,34
3.9,33
3.4,31
9.3,20
6.2,19
4.8,23
7.7,29
4.8,28
12.3,39
5.5,33
9.7,23
13.8,24
9.8,26
9.1,21
15.4,23
13.1,21
17,24
11.9,21
10.4,22
9.6,22
5,27
7.9,31
4.7,30
4.9,31
21.5,25
17.2,20
7.5,39
9.7,33
11.1,25
11.3,23
5,21
9.3,29
10.8,26
12.6,25
7.3,28
2.2,25
1.5,27
13.8,24
14.1,16
18.1,15
14.7,25
21.1,17
13.4,21
9.2,27
9.8,28
12,24
14.8,25
3.9,41
17.3,32
20.3,25
20.7,25
29.9,18
16.2,22
12.7,19
16.9,30
19.2,20
20.6,22
21.6,20
15.1,20
11.9,22
9.9,17
4,27
5.2,25
7.4,17
12.8,16
10.9,24
6.2,32
10.7,29
7.5,25
10.4,22
10.8,24
11.2,19
16.5,23
17.6,21
25.8,13
4.3,34
8.5,29
7.6,28
18.5,17
15.3,15
6.9,29
21.9,14
10.2,25
3,32
10.6,18
1,32
1.2,39
1.8,37
15.3,19
15.2,35
14.9,29
8.4,36
8.7,43
5.8,42
10.9,41
19.2,32
8.7,40
4.5,46
0.7,47
9.1,39
17.8,40
16.4,28
6.7,31
4.2,30
5.4,30
2.4,38
4,35
4.3,31
6.8,25
6.6,26
9,16
3.3,29
3.8,25
14.7,20
10.2,22
2.3,24
2.7,21
3.2,27
3.8,23
8,23
10.2,23
9.3,28
2.7,23
3.5,19
8.1,22
15.8,26
7.4,26
6.6,29
3,29
10.8,28
18.2,30
15.9,20
6.1,30
2.5,38
10.4,35
21,28
20,22
9.6,30
8,28
6.1,27
10.7,25
14,19
2.7,34
20.2,25
11.7,28
0.5,31
4.8,31
12.6,23
6.5,32
12.5,25
10.6,26
13.8,17
12.3,18
13.6,13
9.1,18
16.1,16
14.1,10
13,15
15.1,15
21.1,14
16.2,16
7.2,20
19.2,23
21.2,13
13.4,21
27,12
14.5,18
4.5,30
5.6,33
14.2,19
16.1,18
14.9,23
13.7,21
9.1,25
17.8,15
30,21
34.8,9
4.6,35
17.5,21
5.1,40
2.9,37
3.8,37
7.2,36
8,37
7,35
6.2,33
7.9,33
5.6,45
10.6,40
12.4,38
15.8,35
12.9,33
4.6,34
0.9,34
0.2,35
2,31
3.3,23
2.6,27
6.1,15
4.2,24
6.4,32
15.5,34
20.8,20
7.5,29
0.6,36
13.1,30
22.2,22
10.1,30
8.1,27
5.9,21
5,22
6.4,13
7.2,16
6.4,18
3.3,24
1.7,28
9.4,33
6.9,32
18.7,22
18.7,18
7,19
5.5,18
7.5,22
1.8,21
2.6,27
3.5,28
4.7,23
3.2,20
3.6,28
