nitrogen,temp
6.7,73.8
5.4,77.7
4.4,80.5
3.9,82.2
3.4,83.3
9.3,74.1
6.2,73.3
4.8,75.3
7.7,79.9
4.8,74.9
12.3,75.9
5.5,78.6
9.7,78.2
13.8,79.9
9.8,81
9.1,79.7
15.4,79.4
13.1,80.5
17,82.1
11.9,84.2
10.4,84.1
9.6,83.3
5,79.9
7.9,73.7
4.7,70.4
4.9,60.6
21.5,64.5
17.2,72.2
7.5,76.3
9.7,69.2
11.1,73.5
11.3,75.5
5,76.7
9.3,71
10.8,72.6
12.6,74.4
7.3,67.1
2.2,65.3
1.5,69.8
13.8,73.2
14.1,77.1
18.1,77.4
14.7,73.7
21.1,73.2
13.4,75.6
9.2,76.6
9.8,76.2
12,74.8
14.8,74.1
3.9,67.4
17.3,67.2
20.3,69.4
20.7,71
29.9,72.9
16.2,74.4
12.7,72.8
16.9,74.7
19.2,72.4
20.6,72.5
21.6,72
15.1,72.9
11.9,73
9.9,70.2
4,64.8
5.2,64.3
7.4,66.4
12.8,62.9
10.9,63.8
6.2,63.3
10.7,55.4
7.5,54.8
10.4,57.3
10.8,57.8
11.2,58.2
16.5,60.2
17.6,61.5
25.8,62.6
4.3,67.6
8.5,55
7.6,52.7
18.5,56.6
15.3,59.9
6.9,55.9
21.9,53.4
10.2,53.8
3,54.2
10.6,55
1,59.6
1.2,49.7
1.8,47.2
15.3,42.2
15.2,81
14.9,82.1
8.4,82.5
8.7,81.8
5.8,81.5
10.9,79.1
19.2,82.1
8.7,81.5
4.5,79.7
0.7,79.5
9.1,80.6
17.8,82.6
16.4,84.5
6.7,83.6
4.2,82.3
5.4,80.3
2.4,80.7
4,81.9
4.3,82.2
6.8,81.3
6.6,83.2
9,83.9
3.3,79.4
3.8,76.6
14.7,75.4
10.2,72.5
2.3,65.7
2.7,68.3
3.2,71.1
3.8,71.1
8,76.8
10.2,80.3
9.3,78.9
2.7,78.5
3.5,80.9
8.1,80.5
15.8,70.4
7.4,73
6.6,73.2
3,59.3
10.8,67.2
18.2,75.7
15.9,78.9
6.1,79.2
2.5,65.9
10.4,67.3
21,71.1
20,72.8
9.6,72
8,71.8
6.1,70.9
10.7,66.3
14,68
2.7,63.4
20.2,62.3
11.7,69.8
0.5,55.5
4.8,55.3
12.6,61.7
6.5,65.4
12.5,57.7
10.6,66.2
13.8,65.7
12.3,67.8
13.6,64.5
9.1,69
16.1,68.6
14.1,68.5
13,57.2
15.1,55.9
21.1,62.5
16.2,67.1
7.2,64.1
19.2,62.8
21.2,67.7
13.4,66.6
27,65.9
14.5,69.8
4.5,59.5
5.6,52.7
14.2,53.8
16.1,60.4
14.9,57.2
13.7,57.8
9.1,63.3
17.8,63.1
30,62.2
34.8,61.7
4.6,65
12.6,52.5
17.5,57.4
5.1,82.2
2.9,76.3
3.8,78
7.2,80.8
8,80.2
7,71.8
6.2,73.8
7.9,75.5
5.6,78.2
10.6,81.2
12.4,81
15.8,83.2
12.9,84
4.6,82.6
0.9,80.5
0.2,78.4
2,79.5
3.3,79.8
2.6,79.2
6.1,70.3
4.2,73.4
6.4,71
15.5,73.3
20.8,77.3
7.5,80.9
0.6,72
13.1,73.5
22.2,79.6
10.1,80.2
8.1,79.3
5.9,77.8
5,79.8
6.4,79.4
7.2,80.6
6.4,80.4
3.3,78.3
1.7,74.8
9.4,57.2
6.9,59.9
18.7,64.1
18.7,69.5
7,61.5
5.5,63
7.5,65.2
1.8,46.1
2.6,46.8
3.5,50.6
4.7,51.5
3.2,60
3.6,64.1
3.2,61.9
9.2,63.4
8.7,63
10.4,61.8
14.8,63.8
20.3,63.5
18.3,64.4
17.4,65.3
16.9,67.4
7.7,68
7.9,57.9
11.1,54.1
15.5,57.1
8.9,62.2
10.9,59.3
11.7,66.8
12.3,66.9
16.1,66.5
12.4,66
4.2,52
11.4,52.3
8.7,57.3
2.7,40.9
16.2,37.1
34.4,42.7
30.4,47.7
29.8,49.6
19.4,55.8
23.5,52.8
24.1,52.3
12.9,53.5
27.5,53.9
22.7,53.5
8.4,55.5
10,56.7
7.4,52.1
13.5,49.5
23.3,49.5
23.7,56.5
19.4,59.7
10.6,53.6
1,84.9
2.4,84.9
7.1,84.8
3.5,84.1
6.6,82.7
4.2,85.3
4.2,85.2
1.7,82.3
6.1,79.8
5.3,80.3
4.3,82
5,83
4,80.2
2.7,77.8
0,71.5
6.2,75.2
4.7,79.2
4.6,81.7
5.1,82.9
5.4,83.1
5,72
6.2,75
6,79.8
4.2,75.6
6,77
4.9,78.9
6.2,76.6
10.4,76.9
4.3,79.1
5.2,75.7
5.4,72.7
7.8,71.3
5.4,74.5
3.2,72.3
6.4,76
3.7,68.2
6.7,71.7
7.1,74.1
6.5,73.8
3.3,56.9
10.4,60
10.5,68.1
5.9,69
6.2,72.3
8.6,66.7
16.4,68.7
5.4,71.5
10.9,67.3
4.7,68.5
15.9,62.4
19.3,63.3
19.2,64.9
8,56.3
16,46.8
15.5,55.3
7.7,68.4
8.5,67.1
9.1,64.7
6.4,53.9
16.2,46
20.6,51.9
2.8,53.4
18.1,66.7
18.5,66.8
8.4,65.7
5.3,57.5
12.2,51
16.4,57.6
13.5,39.8
12.2,48
12.6,51.3
23.3,52.3
22.8,55.9
21.4,54.8
28.5,57.5
35.2,61.1
18.1,60.4
19.7,52.9
13.9,51.5
19.9,49.5
10.1,50.8
7.1,56.2
5.3,54.3
7.8,43.3
7.8,45.9
6,52.3
5.9,47.6
5.7,80.8
12.4,82.5
21.8,86.3
5.6,87.5
3.9,83.5
11,82.6
18.4,85.9
4.2,81.5
4.4,58
4.1,56.8
8.2,66.2
9.8,72.2
6.7,77.8
7.8,71.4
16.7,72.9
16.5,78
8.1,78.4
11.8,75.8
9.8,74.9
8.3,76.2
18.8,77.1
17.3,78.9
17.4,80
20.1,80
