nitrogen,wind
6.7,7.1
5.4,7.1
4.4,6.3
3.9,6.7
3.4,9
9.3,5.4
6.2,6.4
4.8,6.7
7.7,6.6
4.8,11.2
12.3,5.1
5.5,8
9.7,5.2
13.8,5.1
9.8,6.5
9.1,5.1
15.4,4.1
13.1,4.1
17,3.5
11.9,5.9
10.4,5.6
9.6,7.3
5,8.6
7.9,6.3
4.7,9
4.9,10.5
21.5,5
17.2,4.9
7.5,8.6
9.7,5.6
11.1,6
11.3,5.7
5,7.7
9.3,7.9
10.8,5.4
12.6,6.1
7.3,10.8
2.2,10.6
1.5,8.3
13.8,5
14.1,4.9
18.1,4.9
14.7,6.7
21.1,4
13.4,5.5
9.2,6.1
9.8,8.6
12,6.9
14.8,5.9
3.9,11.7
17.3,6.1
20.3,3.7
20.7,3
29.9,3.4
16.2,4.9
12.7,4.3
16.9,6
19.2,6.1
20.6,3.4
21.6,3.8
15.1,5
11.9,5.9
9.9,7.5
4,13.6
5.2,15
7.4,7.4
12.8,5
10.9,5.1
6.2,9.8
10.7,8.1
7.5,8.1
10.4,4.9
10.8,5.9
11.2,3.7
16.5,4.3
17.6,5.2
25.8,3.6
4.3,10
8.5,7
7.6,10.2
18.5,5
15.3,6.2
6.9,8.3
21.9,4.4
10.2,5.5
3,10.5
10.6,7.1
1,10.3
1.2,13.2
1.8,11.9
15.3,3.7
15.2,6.2
14.9,4.4
8.4,5.3
8.7,6
5.8,7.8
10.9,7
19.2,4
8.7,7.2
4.5,7.8
0.7,8.1
9.1,6.3
17.8,4
16.4,6
6.7,7.3
4.2,6.5
5.4,5.5
2.4,5.4
4,7.2
4.3,7.9
6.8,7.2
6.6,6
9,4.7
3.3,6.9
3.8,4.8
14.7,5.9
10.2,8.8
2.3,10.5
2.7,9.5
3.2,10.6
3.8,8.8
8,6.1
10.2,5.5
9.3,5.3
2.7,9.2
3.5,7.4
8.1,6.7
15.8,3.6
7.4,8.1
6.6,9.2
3,10.8
10.8,7.3
18.2,4.9
15.9,4.3
6.1,6.9
2.5,10.3
10.4,7.5
21,4.3
20,4.3
9.6,7
8,7.3
6.1,8.9
10.7,3.9
14,5.5
2.7,10.9
20.2,4.5
11.7,9.5
0.5,11.9
4.8,7.9
12.6,4.1
6.5,9
12.5,8
10.6,8.5
13.8,6.8
12.3,5.8
13.6,5
9.1,6.7
16.1,6.4
14.1,4.2
13,6.6
15.1,6.8
21.1,4.6
16.2,4.4
7.2,6.4
19.2,6.5
21.2,3.9
13.4,7.2
27,3.7
14.5,7.6
4.5,8.2
5.6,6.8
14.2,5.7
16.1,7.7
14.9,5.8
13.7,3.9
9.1,7.3
17.8,4
30,3.6
34.8,2.6
4.6,9.9
12.6,6.7
17.5,5.2
5.1,7
2.9,7.6
3.8,7.4
7.2,4.3
8,6.4
7,5.3
6.2,5.7
7.9,5.2
5.6,5.5
10.6,5.4
12.4,6.2
15.8,5.4
12.9,6.4
4.6,7.3
0.9,8.9
0.2,7.9
2,7.8
3.3,6.6
2.6,7.4
6.1,5
4.2,8
6.4,6.1
15.5,3.6
20.8,3.6
7.5,6.4
0.6,11.3
13.1,5.1
22.2,3.8
10.1,6.2
8.1,6
5.9,6.9
5,5.6
6.4,5.4
7.2,4.9
6.4,5.7
3.3,5.8
1.7,8.8
9.4,6.3
6.9,8.1
18.7,4
18.7,4.5
7,5.4
5.5,4.4
7.5,5.9
1.8,12.8
2.6,10.8
3.5,10.2
4.7,8.2
3.2,7.8
3.6,11.8
3.2,9.5
9.2,6.4
8.7,5.8
10.4,5.8
14.8,5.4
20.3,3.5
18.3,3.1
17.4,2.5
16.9,4.5
7.7,6.8
7.9,6.7
11.1,5.8
15.5,4.5
8.9,6.8
10.9,6.4
11.7,7.8
12.3,7.6
16.1,5.4
12.4,6.6
4.2,13.1
11.4,7.4
8.7,7.5
2.7,10.6
16.2,3.9
34.4,2.5
30.4,2.8
29.8,3.2
19.4,5.4
23.5,5.2
24.1,3.8
12.9,8.3
27.5,4.2
22.7,5.1
8.4,8.8
10,8.7
7.4,6.6
13.5,6.2
23.3,4.5
23.7,7.4
19.4,4.9
10.6,11.8
1,6.4
2.4,6.3
7.1,6.5
3.5,7.9
6.6,4.9
4.2,5.7
4.2,7.3
1.7,6
6.1,4.7
5.3,4.8
4.3,5.1
5,5.8
4,8.7
2.7,6.9
0,7.9
6.2,4.1
4.7,4.9
4.6,6
5.1,4.3
5.4,4.8
5,4.7
6.2,3.4
6,4.8
4.2,7.9
6,6.1
4.9,8.5
6.2,7
10.4,4.2
4.3,6.1
5.2,8.4
5.4,7.3
7.8,4.5
5.4,7
3.2,7.1
6.4,4.3
3.7,11.3
6.7,7.5
7.1,6.6
6.5,8
3.3,10.8
10.4,6.7
10.5,3.6
5.9,4.7
6.2,5.4
8.6,9.2
16.4,5.3
5.4,10.2
10.9,5.4
4.7,9.6
15.9,4.2
19.3,3.8
19.2,3.6
8,9.4
16,3.9
15.5,4.9
7.7,7
8.5,8
9.1,7.5
6.4,8.9
16.2,5.4
20.6,4.1
2.8,8.5
18.1,4
18.5,3.7
8.4,6.6
5.3,7.7
12.2,5.6
16.4,3.5
13.5,9.3
12.2,6.5
12.6,7.4
23.3,5.4
22.8,3.6
21.4,4
28.5,5.1
35.2,5.3
18.1,6.8
19.7,8.6
13.9,5.1
19.9,3.6
10.1,6.6
7.1,7.5
5.3,11.2
7.8,11.2
7.8,5.6
6,10.1
5.9,10
5.7,9
12.4,5.1
21.8,3.9
5.6,9.3
3.9,9.6
11,4.6
18.4,4.1
4.2,10.6
4.4,15.6
4.1,10.9
8.2,6
9.8,4.6
6.7,6.3
7.8,7.3
16.7,4.1
16.5,4.2
8.1,5.8
11.8,7.3
9.8,6.8
8.3,6.5
18.8,5.7
17.3,4.9
17.4,6
20.1,4.1
24,4.9
14.2,8.6
4.8,12.4
17.2,5.3
28.6,3
19.4,6.6
18.9,6.1
9.9,6.6
14.8,7.1
22.3,4
27.5,3
28.3,3.6
30.7,3.2
21.8,5.1
12.1,6.2
9.3,7.2
18.5,5.9
30.8,3.2
21,7.7
10.8,9.8
10.5,10.9
16.2,4.4
12.6,6.3
15.2,6.1
19.5,5
22.4,3.6
13.7,7.2
9.3,7.9
13.9,6.9
3.6,8.8
4.6,14.9
5.8,8.6
13,7
21.2,4.8
22.8,4.5
26.2,3
7.3,10.3
16.7,5.3
29,3.7
37.2,2.4
16.8,5.4
21.4,6.1
9.4,7.5
4.8,8.5
6.8,10.7
12.6,4.4
23.6,4.1
22.8,3.5
10.5,9.6
19.6,3.6
26.3,3.5
23.5,5.7
18.9,6.9
24.5,3.8
29.9,4
8.3,5.7
7.1,6.2
9.3,5
12.5,4.8
7.4,6
7.2,6.2
11.6,3.9
17.7,3.8
15.4,6.3
18.4,4.8
24.4,4.3
19.7,4.1
12.2,5.7
21.9,4.9
22.3,4.2
9.3,6.2
14.5,4.7
16.4,4.4
15.2,5.9
7.6,6.6
5.9,8.8
6.4,10.5
11.6,7.2
13.4,6.8
13,4.2
11.6,6
8.4,5.2
9.4,5.8
6.4,8.2
8.9,6.8
6.6,7.3
13.6,4.3
12.5,4
8.6,6
15.5,5.4
12.6,6.4
18.3,4.1
16.1,5.3
17,4.1
8.1,8.1
7.2,10.7
15.2,6
4.7,13
15.7,4.9
13.8,8.2
12.3,6.7
5.6,10.1
11,7.4
12,6.2
14.5,6.7
19.9,3.4
22.1,3.2
22.9,3.4
10.7,7.7
13.8,6.6
23.7,3.3
4.6,13.1
8.4,9.9
21.7,3.7
25.7,4.1
22.1,4.5
16.7,5.9
26.1,4.5
19.8,5.5
15.9,7.4
19.5,6.1
26.1,3.1
27.5,2.8
24.1,2.6
26,3.2
23.2,4.9
16.6,6.5
24.3,4.1
21.6,5
27.1,4.5
19,4.1
13.5,6.4
6.9,9.1
