ozone,wind
34,7.1
38,7.1
34,6.3
33,6.7
31,9
20,5.4
19,6.4
23,6.7
29,6.6
28,11.2
39,5.1
33,8
23,5.2
24,5.1
26,6.5
21,5.1
23,4.1
21,4.1
24,3.5
21,5.9
22,5.6
22,7.3
27,8.6
31,6.3
30,9
31,10.5
25,5
20,4.9
39,8.6
33,5.6
25,6
23,5.7
21,7.7
29,7.9
26,5.4
25,6.1
28,10.8
25,10.6
27,8.3
24,5
16,4.9
15,4.9
25,6.7
17,4
21,5.5
27,6.1
28,8.6
24,6.9
25,5.9
41,11.7
32,6.1
25,3.7
25,3
18,3.4
22,4.9
19,4.3
30,6
20,6.1
22,3.4
20,3.8
20,5
22,5.9
17,7.5
27,13.6
25,15
17,7.4
16,5
24,5.1
32,9.8
29,8.1
25,8.1
22,4.9
24,5.9
19,3.7
23,4.3
21,5.2
13,3.6
34,10
29,7
28,10.2
17,5
15,6.2
29,8.3
14,4.4
25,5.5
32,10.5
18,7.1
32,10.3
39,13.2
37,11.9
19,3.7
35,6.2
29,4.4
36,5.3
43,6
42,7.8
41,7
32,4
40,7.2
46,7.8
47,8.1
39,6.3
40,4
28,6
31,7.3
30,6.5
30,5.5
38,5.4
35,7.2
31,7.9
25,7.2
26,6
16,4.7
29,6.9
25,4.8
20,5.9
22,8.8
24,10.5
21,9.5
27,10.6
23,8.8
23,6.1
23,5.5
28,5.3
23,9.2
19,7.4
22,6.7
26,3.6
26,8.1
29,9.2
29,10.8
28,7.3
30,4.9
20,4.3
30,6.9
38,10.3
35,7.5
28,4.3
22,4.3
30,7
28,7.3
27,8.9
25,3.9
19,5.5
34,10.9
25,4.5
28,9.5
31,11.9
31,7.9
23,4.1
32,9
25,8
26,8.5
17,6.8
18,5.8
13,5
18,6.7
16,6.4
10,4.2
15,6.6
15,6.8
14,4.6
16,4.4
20,6.4
23,6.5
13,3.9
21,7.2
12,3.7
18,7.6
30,8.2
33,6.8
19,5.7
18,7.7
23,5.8
21,3.9
25,7.3
15,4
21,3.6
9,2.6
35,9.9
21,5.2
40,7
37,7.6
37,7.4
36,4.3
37,6.4
35,5.3
33,5.7
33,5.2
45,5.5
40,5.4
38,6.2
35,5.4
33,6.4
34,7.3
34,8.9
35,7.9
31,7.8
23,6.6
27,7.4
15,5
24,8
32,6.1
34,3.6
20,3.6
29,6.4
36,11.3
30,5.1
22,3.8
30,6.2
27,6
21,6.9
22,5.6
13,5.4
16,4.9
18,5.7
24,5.8
28,8.8
33,6.3
32,8.1
22,4
18,4.5
19,5.4
18,4.4
22,5.9
21,12.8
27,10.8
28,10.2
23,8.2
20,7.8
28,11.8
32,9.5
18,6.4
12,5.8
19,5.8
18,5.4
14,3.5
17,3.1
15,2.5
17,4.5
20,6.8
21,6.7
20,5.8
20,4.5
30,6.8
30,6.4
29,7.8
27,7.6
22,5.4
26,6.6
27,13.1
27,7.4
22,7.5
32,10.6
23,3.9
12,2.5
11,2.8
12,3.2
22,5.4
14,5.2
16,3.8
33,8.3
21,4.2
15,5.1
31,8.8
31,8.7
31,6.6
26,6.2
14,4.5
22,7.4
20,4.9
28,11.8
34,6.4
42,6.3
38,6.5
43,7.9
38,4.9
38,5.7
37,7.3
44,6
36,4.7
29,4.8
24,5.1
32,5.8
31,8.7
32,6.9
33,7.9
33,4.1
33,4.9
38,6
33,4.3
30,4.8
