pm10,carbon 
51.1,0.2
19.3,0.2
17.1,0.2
21,0.2
30.6,0.1
19.2,0.2
20.1,0.2
22.2,0.1
26.3,0.3
28.4,0.4
31.6,0.4
38.2,0.4
34.8,0.4
26.9,0.3
22,0.3
17.5,0.3
22.1,0.3
23.2,0.4
24.1,0.4
18.3,0.5
18.1,0.4
23.9,0.4
27,0.5
36.4,0.5
29,0.4
26.2,0.3
32.4,0.5
42.5,0.6
30.9,0.4
26.3,0.4
26.2,0.4
22.5,0.4
37.4,0.3
26.6,0.4
26.5,0.3
24.5,0.3
28.7,0.3
17.6,0.3
17.7,0.3
40.9,0.6
38.3,0.6
16.6,0.4
14.6,0.4
20.4,0.3
18.3,0.2
18.1,0.2
18.2,0.3
14.8,0.3
16.7,0.3
17.7,0.3
16.2,0.3
21.2,0.4
17.2,0.4
19,0.4
22.3,0.4
30,0.5
26.6,0.5
35.5,0.5
37.1,0.5
22.2,0.3
19.8,0.4
18.8,0.3
25.3,0.4
18.1,0.3
24.9,0.3
27.9,0.3
25.1,0.3
28,0.4
24,0.3
24.4,0.3
31.7,0.5
29.3,0.4
22.3,0.2
27.7,0.3
56.5,0.8
50,0.7
43.5,0.6
34.4,0.5
44.6,0.6
37.5,0.5
25.9,0.3
49.9,0.7
41.5,0.5
19.3,0.3
20.3,0.3
23.8,0.3
39.5,0.3
38.9,0.4
34.5,0.3
33.9,0.5
59,0.3
22.8,0.3
20.3,0.3
25.6,0.4
25,0.3
26.8,0.4
25.5,0.4
28,0.4
34.4,0.4
22.9,0.4
21.5,0.4
19.6,0.4
20.8,0.4
26.3,0.3
18,0.3
13.2,0.4
19,0.4
15.4,0.4
16.8,0.4
20.2,0.3
22.8,0.3
18.7,0.4
20,0.4
16.4,0.3
18,0.3
16.7,0.3
17.3,0.3
19.9,0.3
20.7,0.3
19.7,0.3
29,0.4
9.3,0.4
21,0.4
20.8,0.4
20,0.5
18.1,0.4
15.9,0.3
24.4,0.3
25.8,0.4
21.1,0.3
20.6,0.2
24.8,0.2
37.2,0.4
40.8,0.5
20.8,0.4
13.9,0.4
27,0.3
42,0.6
27.9,0.3
23.5,0.3
31.2,0.2
29.1,0.3
31.9,0.3
27.7,0.3
39.5,0.2
29.3,0.3
22.9,0.2
26.4,0.3
42.8,0.3
30.4,0.3
59.7,0.2
23.5,0.3
33,0.4
29,0.3
30,0.4
32,0.4
41.1,0.5
22.6,0.4
16.4,0.3
29.2,0.5
31.5,0.6
25.2,0.4
37,0.2
18.7,0.2
19.1,0.3
27.2,0.3
29,0.5
32.4,0.5
37.9,0.5
37.5,0.5
31,0.4
16.2,0.4
18.8,0.4
13.8,0.3
27.1,0.5
12,0.3
15.2,0.2
31.9,0.2
14.8,0.2
11.9,0.3
20.4,0.3
13.4,0.3
23.5,0
24.6,0.1
40.5,0.3
27.2,0
21.1,0
26,0.1
39.7,0.2
43.3,0.1
16.6,0
12.4,0.1
19.8,0.1
18.5,0.1
19.1,0.1
19.7,0.1
29.9,0.2
28.3,0.2
22.7,0.1
26.3,0.1
27.2,0.2
23.5,0.2
38.3,0.3
36.6,0.2
31.1,0.2
32.1,0.2
37.1,0.3
26.6,0.1
25.6,0.1
97.4,0.1
38.9,0.3
50.4,0.4
41.4,0.2
35.1,0.3
30.8,0.1
42.8,0.2
46.5,0.3
47.7,0.3
49.6,0.4
50.9,0.4
38.3,0.2
33.1,0.1
31.2,0.1
73.4,0.2
71.1,0.4
48.2,0.2
47.6,0.1
51.7,0.1
38,0.2
28.2,0.2
28.6,0.2
33.5,0.2
38.5,0.3
33.7,0.1
36.3,0.1
39,0.2
38.7,0.1
68.5,0.1
14,0.2
12.8,0.2
18.1,0.3
35.3,0.5
30,0.4
13.9,0.1
17.8,0.2
32.5,0.3
42.4,0.5
22.4,0.2
30.1,0.2
33.2,0.1
50.4,0.1
33.1,0.1
18.1,0.2
28.1,0.3
35.2,0.3
31.8,0.3
34.1,0.1
27.6,0.3
31.8,0.4
33.8,0.3
41.8,0.3
47.8,0.4
52.9,0.5
32.3,0.3
35.4,0.1
39.8,0.2
34.8,0.2
23.3,0.2
32.8,0.4
34.4,0.3
16.8,0.2
20.5,0.2
29.4,0.2
13.5,0.1
17.1,0.1
29,0.2
18,0.1
17.1,0.1
27.2,0.1
98.2,0.2
66,0.2
85.2,0.2
85.4,0.3
38.7,0.3
27.7,0.2
52.4,0.3
48.2,0.2
88.8,0.1
35.8,0.1
28.7,0.1
32.9,0.1
26.7,0.1
23.4,0
36.3,0.1
32,0.1
32.7,0.1
22.2,0.1
17,0.1
15.9,0
12.9,0
16.4,0
19.9,0
13.4,0
16.1,0.1
13.8,0
14.7,0
20.7,0.1
20.5,0
27.2,0.1
20.4,0
30.2,0.1
22.6,0
32.4,0
32.3,0.1
62.4,0
43.7,0
29.4,0
22.6,0
19.9,0
21.6,0.1
27.3,0.1
24.6,0
28.1,0.1
32.6,0.2
35,0.2
23.1,0
25.9,0
34.6,0.2
67,0
15,0.1
28.2,0.3
37.9,0.5
32.9,0.4
27.1,0.3
40,0.4
20.4,0.2
25.1,0.2
30.4,0.3
36.8,0.5
46.8,0.6
44.7,0.5
39.9,0.5
24.5,0.3
24,0.3
29.8,0.4
27.6,0.4
44.4,0.4
33.1,0.5
19.5,0.3
23.3,0.2
