pm10,ozone
17.8,34
22.2,38
22.5,34
24.7,33
25.4,31
19.2,20
17,19
16.2,23
22.1,29
34.4,28
31.1,39
25.1,33
24.5,23
30.9,24
28.9,26
23.8,21
30.6,23
29.2,21
39.9,24
30.7,21
30.1,22
30.7,22
24.6,27
25.6,31
35.6,30
18.9,31
33.6,25
27.6,20
18.7,39
20.9,33
15.6,25
24.8,23
20.6,21
22.3,29
23,26
25.6,25
33.6,28
15.7,25
16.2,27
29.2,24
30.9,16
32.5,15
38.6,25
42.1,17
28.5,21
24.2,27
25.1,28
28.2,24
30.7,25
40.4,41
37.3,32
40.5,25
44,25
47.6,18
33.4,22
25.3,19
33,30
36.7,20
45.1,22
44,20
36.6,20
29.7,22
31.5,17
26.1,27
22.6,25
28,17
24.9,16
21.4,24
23.7,32
21,29
17.9,25
19.7,22
20.9,24
24.4,19
32.9,23
33.5,21
33.4,13
53.4,34
26.1,29
23.9,28
28.6,17
34.2,15
21,29
38.8,14
25.8,25
23.3,32
23.5,18
33,32
35.2,39
18.6,37
23.5,19
35,35
35.1,29
38.9,36
29.9,43
32.9,42
43,41
48.8,32
44.6,40
31,46
25.1,47
29,39
42.4,40
43,28
28.1,31
31.3,30
27.4,30
29.5,38
30.6,35
33.7,31
30.2,25
27.4,26
29.9,16
31.5,29
20.3,25
28.5,20
31,22
14.4,24
15.6,21
16.2,27
16.6,23
22.5,23
28.6,23
31.2,28
21.8,23
24.3,19
24.6,22
38.3,26
34.5,26
36.3,29
23.4,29
28.7,28
40.2,30
39,20
20.6,30
33.5,38
24.7,35
37.1,28
46.1,22
30.3,30
26.5,28
26.8,27
26.6,25
30,19
35.3,34
40.5,25
47.2,28
58,31
31.1,31
32.4,23
36.7,32
35.4,25
29.7,26
28.5,17
24.3,18
28.7,13
21.4,18
25.7,16
26,10
25,15
23,15
35.4,14
25.7,16
25.4,20
39.7,23
39.2,13
28,21
42.7,12
30.9,18
25.4,30
26,33
32,19
37.2,18
46.5,23
36.9,21
26.8,25
40.3,15
47.9,21
59.1,9
34.7,35
39.2,21
51.1,40
19.3,37
17.1,37
21,36
30.6,37
19.2,35
20.1,33
22.2,33
26.3,45
28.4,40
31.6,38
38.2,35
34.8,33
26.9,34
22,34
17.5,35
22.1,31
23.2,23
24.1,27
18.3,15
18.1,24
23.9,32
27,34
36.4,20
29,29
26.2,36
32.4,30
42.5,22
30.9,30
26.3,27
26.2,21
22.5,22
37.4,13
26.6,16
26.5,18
24.5,24
28.7,28
17.6,33
17.7,32
40.9,22
38.3,18
16.6,19
14.6,18
20.4,22
18.3,21
18.1,27
18.2,28
14.8,23
16.7,20
17.7,28
16.2,32
21.2,18
17.2,12
19,19
22.3,18
30,14
26.6,17
35.5,15
37.1,17
22.2,20
19.8,21
18.8,20
25.3,20
18.1,30
24.9,30
27.9,29
25.1,27
28,22
24,26
24.4,27
31.7,27
29.3,22
22.3,32
27.7,23
56.5,12
50,11
43.5,12
34.4,22
