pm10,radiation
17.8,0.287
22.2,0.412
22.5,0.361
24.7,0.379
25.4,0.402
19.2,0.105
17,0.286
16.2,0.249
22.1,0.409
34.4,0.398
31.1,0.394
25.1,0.272
24.5,0.398
30.9,0.343
28.9,0.377
23.8,0.392
30.6,0.385
29.2,0.389
39.9,0.383
30.7,0.305
30.1,0.312
30.7,0.358
24.6,0.352
25.6,0.334
35.6,0.265
18.9,0.101
33.6,0.278
27.6,0.329
18.7,0.332
20.9,0.306
15.6,0.337
24.8,0.347
20.6,0.293
22.3,0.351
23,0.347
25.6,0.34
33.6,0.241
15.7,0.231
16.2,0.256
29.2,0.304
30.9,0.319
32.5,0.323
38.6,0.302
42.1,0.317
28.5,0.321
24.2,0.318
25.1,0.318
28.2,0.316
30.7,0.31
40.4,0.296
37.3,0.295
40.5,0.282
44,0.289
47.6,0.274
33.4,0.247
25.3,0.284
33,0.277
36.7,0.243
45.1,0.271
44,0.272
36.6,0.264
29.7,0.194
31.5,0.186
26.1,0.065
22.6,0.142
28,0.154
24.9,0.247
21.4,0.241
23.7,0.251
21,0.247
17.9,0.187
19.7,0.237
20.9,0.219
24.4,0.24
32.9,0.241
33.5,0.242
33.4,0.216
53.4,0.231
26.1,0.237
23.9,0.233
28.6,0.228
34.2,0.093
21,0.23
38.8,0.226
25.8,0.203
23.3,0.158
23.5,0.159
33,0.198
35.2,0.209
18.6,0.086
23.5,0.214
35,0.408
35.1,0.295
38.9,0.387
29.9,0.399
32.9,0.37
43,0.367
48.8,0.372
44.6,0.352
31,0.325
25.1,0.381
29,0.389
42.4,0.381
43,0.379
28.1,0.365
31.3,0.329
27.4,0.362
29.5,0.355
30.6,0.36
33.7,0.353
30.2,0.37
27.4,0.368
29.9,0.355
31.5,0.276
20.3,0.357
28.5,0.364
31,0.29
14.4,0.147
15.6,0.243
16.2,0.239
16.6,0.27
22.5,0.342
28.6,0.344
31.2,0.332
21.8,0.27
24.3,0.265
24.6,0.322
38.3,0.341
34.5,0.338
36.3,0.326
23.4,0.318
28.7,0.314
40.2,0.298
39,0.292
20.6,0.27
33.5,0.314
24.7,0.303
37.1,0.291
46.1,0.194
30.3,0.274
26.5,0.276
26.8,0.294
26.6,0.298
30,0.295
35.3,0.285
40.5,0.285
47.2,0.282
58,0.274
31.1,0.272
32.4,0.275
36.7,0.261
35.4,0.258
29.7,0.238
28.5,0.263
24.3,0.225
28.7,0.111
21.4,0.255
25.7,0.243
26,0.2
25,0.177
23,0.236
35.4,0.238
25.7,0.234
25.4,0.214
39.7,0.221
39.2,0.235
28,0.236
42.7,0.23
30.9,0.221
25.4,0.19
26,0.214
32,0.212
37.2,0.207
46.5,0.214
36.9,0.219
26.8,0.22
40.3,0.217
47.9,0.214
59.1,0.212
34.7,0.21
35.8,0.165
39.2,0.2
51.1,0.304
19.3,0.292
17.1,0.389
21,0.435
30.6,0.31
19.2,0.245
20.1,0.208
22.2,0.422
26.3,0.42
28.4,0.42
31.6,0.417
38.2,0.416
34.8,0.413
26.9,0.411
22,0.41
17.5,0.405
22.1,0.399
23.2,0.394
24.1,0.354
18.3,0.147
18.1,0.386
23.9,0.374
27,0.393
36.4,0.392
29,0.319
26.2,0.343
32.4,0.374
42.5,0.374
30.9,0.367
26.3,0.373
26.2,0.283
22.5,0.341
37.4,0.366
26.6,0.358
26.5,0.355
24.5,0.32
28.7,0.245
17.6,0.091
17.7,0.33
40.9,0.35
38.3,0.299
16.6,0.076
14.6,0.232
20.4,0.286
18.3,0.123
18.1,0.148
18.2,0.11
14.8,0.059
16.7,0.246
17.7,0.253
16.2,0.22
21.2,0.211
17.2,0.074
19,0.283
22.3,0.327
30,0.317
26.6,0.311
35.5,0.301
37.1,0.289
22.2,0.154
19.8,0.141
18.8,0.271
25.3,0.291
18.1,0.282
24.9,0.274
27.9,0.278
25.1,0.278
28,0.276
24,0.275
24.4,0.249
31.7,0.23
29.3,0.259
22.3,0.238
27.7,0.261
56.5,0.252
50,0.259
43.5,0.252
34.4,0.254
44.6,0.236
37.5,0.242
25.9,0.242
49.9,0.238
41.5,0.132
19.3,0.233
20.3,0.208
23.8,0.235
39.5,0.23
38.9,0.236
34.5,0.235
33.9,0.211
59,0.167
22.8,0.42
20.3,0.431
25.6,0.431
25,0.404
26.8,0.31
25.5,0.362
28,0.429
34.4,0.43
22.9,0.371
21.5,0.355
19.6,0.406
20.8,0.425
26.3,0.301
18,0.241
13.2,0.207
19,0.302
15.4,0.357
16.8,0.398
20.2,0.36
22.8,0.396
18.7,0.103
20,0.326
16.4,0.387
18,0.367
16.7,0.378
17.3,0.387
19.9,0.375
20.7,0.383
19.7,0.383
29,0.228
9.3,0.199
21,0.347
20.8,0.293
20,0.226
18.1,0.356
15.9,0.364
24.4,0.344
25.8,0.267
21.1,0.35
20.6,0.356
24.8,0.35
37.2,0.342
40.8,0.324
20.8,0.233
13.9,0.319
27,0.334
42,0.328
27.9,0.279
23.5,0.326
31.2,0.325
29.1,0.328
31.9,0.324
27.7,0.317
39.5,0.306
29.3,0.31
22.9,0.316
26.4,0.308
42.8,0.267
30.4,0.299
59.7,0.227
23.5,0.304
33,0.297
29,0.261
30,0.233
32,0.27
41.1,0.267
22.6,0.173
16.4,0.12
29.2,0.136
31.5,0.258
25.2,0.242
37,0.09
18.7,0.138
19.1,0.263
27.2,0.259
29,0.254
32.4,0.224
37.9,0.184
37.5,0.255
31,0.181
16.2,0.241
18.8,0.163
13.8,0.214
27.1,0.242
12,0.21
15.2,0.121
31.9,0.186
14.8,0.057
11.9,0.112
20.4,0.218
13.4,0.176
23.5,0.411
24.6,0.445
40.5,0.445
27.2,0.441
21.1,0.438
26,0.433
39.7,0.41
43.3,0.396
16.6,0.21
12.4,0.253
19.8,0.323
18.5,0.274
19.1,0.31
19.7,0.233
29.9,0.377
28.3,0.38
22.7,0.383
26.3,0.35
27.2,0.386
23.5,0.382
38.3,0.367
36.6,0.371
31.1,0.367
32.1,0.386
37.1,0.383
26.6,0.381
25.6,0.383
97.4,0.369
38.9,0.377
50.4,0.38
41.4,0.377
35.1,0.367
30.8,0.367
42.8,0.359
46.5,0.355
47.7,0.356
49.6,0.35
50.9,0.348
38.3,0.351
33.1,0.351
31.2,0.346
73.4,0.334
71.1,0.334
48.2,0.342
47.6,0.329
51.7,0.329
38,0.325
28.2,0.327
28.6,0.307
33.5,0.324
38.5,0.316
33.7,0.315
36.3,0.308
39,0.303
38.7,0.26
68.5,0.295
14,0.126
12.8,0.303
18.1,0.297
35.3,0.289
30,0.231
13.9,0.234
17.8,0.291
32.5,0.281
42.4,0.271
22.4,0.283
30.1,0.257
33.2,0.27
50.4,0.195
33.1,0.252
18.1,0.257
28.1,0.267
35.2,0.265
31.8,0.264
34.1,0.26
27.6,0.263
31.8,0.259
33.8,0.246
41.8,0.238
47.8,0.236
52.9,0.232
32.3,0.213
35.4,0.228
39.8,0.196
34.8,0.239
23.3,0.243
32.8,0.242
34.4,0.232
16.8,0.234
20.5,0.235
29.4,0.232
13.5,0.331
17.1,0.39
29,0.401
18,0.382
17.1,0.17
27.2,0.421
98.2,0.396
66,0.369
85.2,0.42
85.4,0.418
38.7,0.397
27.7,0.4
52.4,0.411
48.2,0.411
88.8,0.36
35.8,0.401
28.7,0.405
32.9,0.404
26.7,0.403
23.4,0.402
36.3,0.396
32,0.363
32.7,0.31
22.2,0.33
17,0.191
15.9,0.354
12.9,0.368
16.4,0.351
19.9,0.366
13.4,0.25
16.1,0.377
13.8,0.381
14.7,0.368
20.7,0.372
20.5,0.354
27.2,0.358
20.4,0.356
30.2,0.357
22.6,0.368
32.4,0.366
32.3,0.353
62.4,0.336
43.7,0.35
29.4,0.353
22.6,0.354
19.9,0.338
21.6,0.326
27.3,0.325
24.6,0.331
28.1,0.328
32.6,0.321
35,0.308
23.1,0.32
25.9,0.317
34.6,0.312
67,0.296
15,0.318
28.2,0.311
37.9,0.307
32.9,0.303
27.1,0.279
40,0.294
20.4,0.288
25.1,0.289
30.4,0.285
36.8,0.285
46.8,0.282
44.7,0.277
39.9,0.182
24.5,0.279
24,0.257
29.8,0.277
27.6,0.273
44.4,0.267
33.1,0.27
19.5,0.269
23.3,0.372
