pm10,temp
17.8,73.8
22.2,77.7
22.5,80.5
24.7,82.2
25.4,83.3
19.2,74.1
17,73.3
16.2,75.3
22.1,79.9
34.4,74.9
31.1,75.9
25.1,78.6
24.5,78.2
30.9,79.9
28.9,81
23.8,79.7
30.6,79.4
29.2,80.5
39.9,82.1
30.7,84.2
30.1,84.1
30.7,83.3
24.6,79.9
25.6,73.7
35.6,70.4
18.9,60.6
33.6,64.5
27.6,72.2
18.7,76.3
20.9,69.2
15.6,73.5
24.8,75.5
20.6,76.7
22.3,71
23,72.6
25.6,74.4
33.6,67.1
15.7,65.3
16.2,69.8
29.2,73.2
30.9,77.1
32.5,77.4
38.6,73.7
42.1,73.2
28.5,75.6
24.2,76.6
25.1,76.2
28.2,74.8
30.7,74.1
40.4,67.4
37.3,67.2
40.5,69.4
44,71
47.6,72.9
33.4,74.4
25.3,72.8
33,74.7
36.7,72.4
45.1,72.5
44,72
36.6,72.9
29.7,73
31.5,70.2
26.1,64.8
22.6,64.3
28,66.4
24.9,62.9
21.4,63.8
23.7,63.3
21,55.4
17.9,54.8
19.7,57.3
20.9,57.8
24.4,58.2
32.9,60.2
33.5,61.5
33.4,62.6
53.4,67.6
26.1,55
23.9,52.7
28.6,56.6
34.2,59.9
21,55.9
38.8,53.4
25.8,53.8
23.3,54.2
23.5,55
33,59.6
35.2,49.7
18.6,47.2
23.5,42.2
35,81
35.1,82.1
38.9,82.5
29.9,81.8
32.9,81.5
43,79.1
48.8,82.1
44.6,81.5
31,79.7
25.1,79.5
29,80.6
42.4,82.6
43,84.5
28.1,83.6
31.3,82.3
27.4,80.3
29.5,80.7
30.6,81.9
33.7,82.2
30.2,81.3
27.4,83.2
29.9,83.9
31.5,79.4
20.3,76.6
28.5,75.4
31,72.5
14.4,65.7
15.6,68.3
16.2,71.1
16.6,71.1
22.5,76.8
28.6,80.3
31.2,78.9
21.8,78.5
24.3,80.9
24.6,80.5
38.3,70.4
34.5,73
36.3,73.2
23.4,59.3
28.7,67.2
40.2,75.7
39,78.9
20.6,79.2
33.5,65.9
24.7,67.3
37.1,71.1
46.1,72.8
30.3,72
26.5,71.8
26.8,70.9
26.6,66.3
30,68
35.3,63.4
40.5,62.3
47.2,69.8
58,55.5
31.1,55.3
32.4,61.7
36.7,65.4
35.4,57.7
29.7,66.2
28.5,65.7
24.3,67.8
28.7,64.5
21.4,69
25.7,68.6
26,68.5
25,57.2
23,55.9
35.4,62.5
25.7,67.1
25.4,64.1
39.7,62.8
39.2,67.7
28,66.6
42.7,65.9
30.9,69.8
25.4,59.5
26,52.7
32,53.8
37.2,60.4
46.5,57.2
36.9,57.8
26.8,63.3
40.3,63.1
47.9,62.2
59.1,61.7
34.7,65
35.8,52.5
39.2,57.4
51.1,82.2
19.3,76.3
17.1,78
21,80.8
30.6,80.2
19.2,71.8
20.1,73.8
22.2,75.5
26.3,78.2
28.4,81.2
31.6,81
38.2,83.2
34.8,84
26.9,82.6
22,80.5
17.5,78.4
22.1,79.5
23.2,79.8
24.1,79.2
18.3,70.3
18.1,73.4
23.9,71
27,73.3
36.4,77.3
29,80.9
26.2,72
32.4,73.5
42.5,79.6
30.9,80.2
26.3,79.3
26.2,77.8
22.5,79.8
37.4,79.4
26.6,80.6
26.5,80.4
24.5,78.3
28.7,74.8
17.6,57.2
17.7,59.9
40.9,64.1
38.3,69.5
16.6,61.5
14.6,63
20.4,65.2
18.3,46.1
18.1,46.8
18.2,50.6
14.8,51.5
16.7,60
17.7,64.1
16.2,61.9
21.2,63.4
17.2,63
19,61.8
22.3,63.8
30,63.5
26.6,64.4
35.5,65.3
37.1,67.4
22.2,68
19.8,57.9
18.8,54.1
25.3,57.1
18.1,62.2
24.9,59.3
27.9,66.8
25.1,66.9
28,66.5
24,66
24.4,52
31.7,52.3
29.3,57.3
22.3,40.9
27.7,37.1
56.5,42.7
50,47.7
43.5,49.6
34.4,55.8
44.6,52.8
37.5,52.3
25.9,53.5
49.9,53.9
41.5,53.5
19.3,55.5
20.3,56.7
23.8,52.1
39.5,49.5
38.9,49.5
34.5,56.5
33.9,59.7
59,53.6
22.8,84.9
20.3,84.9
25.6,84.8
25,84.1
26.8,82.7
25.5,85.3
28,85.2
34.4,82.3
22.9,79.8
21.5,80.3
19.6,82
20.8,83
26.3,80.2
18,77.8
13.2,71.5
19,75.2
15.4,79.2
16.8,81.7
20.2,82.9
22.8,83.1
18.7,72
20,75
16.4,79.8
18,75.6
16.7,77
17.3,78.9
19.9,76.6
20.7,76.9
19.7,79.1
29,75.7
9.3,72.7
21,71.3
20.8,74.5
20,72.3
18.1,76
15.9,76.8
24.4,68.2
25.8,71.7
21.1,74.1
20.6,73.8
24.8,56.9
37.2,60
40.8,68.1
20.8,69
13.9,72.3
27,66.7
42,68.7
27.9,71.5
23.5,67.3
31.2,68.5
29.1,62.4
31.9,63.3
27.7,64.9
39.5,56.3
29.3,46.8
22.9,55.3
26.4,68.4
42.8,67.1
30.4,64.7
59.7,53.9
23.5,46
33,51.9
29,53.4
30,58.9
32,66.7
41.1,66.8
22.6,65.7
16.4,57.5
29.2,51
31.5,57.6
25.2,65.2
37,56
18.7,39.8
19.1,48
27.2,51.3
29,52.3
32.4,55.9
37.9,54.8
37.5,57.5
31,61.1
16.2,60.4
18.8,52.9
13.8,51.5
27.1,49.5
12,50.8
15.2,56.2
31.9,54.3
14.8,43.3
11.9,45.9
20.4,52.3
13.4,47.6
23.5,80.8
24.6,82.5
40.5,86.3
27.2,87.5
21.1,83.5
26,82.6
39.7,85.9
43.3,81.5
