pm25,humidity
7.2,66.6
7.9,54.2
8.1,47.9
10.1,45.9
9,42
6.5,66
5,69.8
4.9,55.7
7.3,42.5
7.9,41.7
8.5,47.5
5.7,35.9
6.4,33.6
8.6,33.7
8.8,41.8
6.7,30.1
9.5,28
8.9,28.3
10.6,19.4
9.4,29.6
9,30.4
8.4,27
6.4,26.4
7.4,34.4
8.5,29.5
5.6,55.3
9.2,47.6
8,50.6
5.5,39
7.5,63.8
5.1,46.8
7.1,28.5
5.5,36.3
5.8,24.8
6.6,23.1
7,23
7.3,35.2
4.7,65.4
4.8,60.8
8.5,51.7
9.6,40.9
9.7,24.2
10.8,37.6
12.3,35.4
8.1,20.8
6.3,17.4
6,17.4
7.3,16.1
7.9,17.5
8.3,28.6
9.6,32.1
13,37.3
14.5,32.1
14.2,27.7
9.4,25.7
7.8,29.5
8.9,27.3
10.1,32.6
13.6,30.4
12.8,28.6
8.9,24.5
6.3,23.9
7,35.7
5.7,56.9
5.3,67.2
7.3,67.3
8.1,61.4
6.9,44.5
6.3,33.4
5.3,36.1
5.3,57
5.9,53.8
7.6,51.3
9.5,50
9.2,34.9
8.7,27.6
6.3,26.1
8,23.2
6,18.3
5,26.2
7.9,32.2
9.7,41
5.3,40.7
10.6,35.4
8.3,31
6.3,31.6
9.1,58.4
7.3,32.7
6.2,36.9
4.8,34.8
9.2,34.5
9.4,20.4
11.1,21.1
17.4,25
13.5,26.2
11.3,27.7
13,33.8
15.9,27.9
16.8,28.7
14,27
10.1,31.4
10.2,23.6
14.7,19.6
13.1,19.6
8,24.6
9.3,28.9
9.1,36.3
8.6,32.9
8.1,29.8
9.3,31.3
8.6,27.5
8.3,25.4
8.3,21.9
8.9,36.7
5.8,26.8
7.6,25.1
9.1,43.9
4.1,72.4
3.9,68.2
3.7,59.5
3.9,62.3
5.6,46.3
7.5,23.1
10,30.8
8.7,52.4
4.9,48.9
5.9,38.4
10.1,18.8
7.1,19
8.2,25.9
3.9,36.5
8.1,36
12.1,40.5
12,38.3
5.7,32.6
6.7,22.3
6.5,25.9
10.1,30.5
11.7,35.8
6.4,42.5
6.6,38.8
6.6,28.2
6.2,16.7
7.1,22.2
5.6,25.7
10,25.8
9,24.1
7.6,31.9
5.9,30.5
7.9,24.8
7.7,25.6
7.7,40.6
6.6,30.3
8.6,32.5
7.8,31.7
6,43.5
5.8,45.2
6.7,27.7
6.6,29.5
5.2,70.1
5,62.9
8.6,52.3
6.7,38.3
7.1,36.7
11.1,49.1
10.5,38.4
6.1,20.5
10.9,23.8
6.6,17.6
5.4,25.9
4.7,20.4
6.9,26.8
8.2,17.6
10.3,26.4
8.8,29.1
6,22.5
11.5,23.5
13.9,29.8
15.4,29
6.5,19.8
8.3,36.8
8.7,31.5
8.7,33.8
4.9,44.8
3.3,39.8
3.3,32.1
6.1,39.1
5.1,66.3
4.9,56.7
4.8,44.6
6.7,40.1
5.8,32.1
6.9,35.3
7.7,26.3
6.4,24.9
6.1,30.1
3.4,37.9
2.9,44.8
3.4,45.6
3.3,51.9
4.4,49.6
3.8,74.6
4.3,57.9
4.5,47.8
5.8,36.9
7.6,29.5
5.4,32
5.8,46.1
6.9,46
9.7,29.4
6.8,28.2
5.2,28.1
6.8,43.8
6.4,46.4
7.3,39.9
5.3,35.3
4.6,29.5
4.7,29.5
4.9,33
4.5,63.9
3.6,48.4
9.3,37.3
8.8,34
4.2,76.7
3.9,72.8
5.6,53.2
3.4,53.2
3.8,49.4
3.9,62.1
3.2,76
3.9,66.2
4.4,49.8
4.6,53.6
5.1,62.7
4.4,76.2
5.8,67.6
6.6,54.3
8.6,48.9
8.4,46.2
10.7,46.5
9,41.7
5.6,42.3
6.1,58.6
4.7,47.8
5.9,35.8
4.3,28.7
4.9,35.8
5.3,28
5.5,29.8
5.2,30.4
4.7,28.3
6,54.9
7.3,46.4
7.2,43.8
4.7,33.8
7.2,35.7
16.7,31.2
13.1,30.2
11.3,26.7
9.3,21.4
13,36.5
11.7,34.4
7.7,35.2
16,44.9
11.7,48.4
4.6,36
5,29.9
5.3,26.3
8.5,23.1
8.6,31.8
7.4,29.2
8.3,25.1
9.6,43.7
8,26.7
6.5,26.8
7.5,24
8,23.2
7.9,28.6
6,28.7
6,34.9
5.8,36.8
5.5,46.2
5.2,45.4
5,38.7
5.2,37
5.5,43.4
5.9,46.9
5.7,66.4
6,54.8
4.1,43
4.2,31
4.3,32.5
4.9,28.4
5.8,57.7
5.6,57.2
3.9,44.1
3.9,44
4.5,40.9
4.9,36.7
5.8,37.9
5.7,35.9
6,32.7
7.7,62.7
4.3,57.3
5.8,54.5
6,57.3
8,64.5
7.9,49.9
6.2,32.6
7.4,40.7
8.1,50.7
7,43
7.1,26.2
6.8,28.3
9.6,27.5
12.2,37.5
6.6,60
5.7,48.5
7.3,26.1
10.9,35.1
6.5,38.6
