pm25,radiation
7.2,0.287
7.9,0.412
8.1,0.361
10.1,0.379
9,0.402
6.5,0.105
5,0.286
4.9,0.249
7.3,0.409
7.9,0.398
8.5,0.394
5.7,0.272
6.4,0.398
8.6,0.343
8.8,0.377
6.7,0.392
9.5,0.385
8.9,0.389
10.6,0.383
9.4,0.305
9,0.312
8.4,0.358
6.4,0.352
7.4,0.334
8.5,0.265
5.6,0.101
9.2,0.278
8,0.329
5.5,0.332
7.5,0.306
5.1,0.337
7.1,0.347
5.5,0.293
5.8,0.351
6.6,0.347
7,0.34
7.3,0.241
4.7,0.231
4.8,0.256
8.5,0.304
9.6,0.319
9.7,0.323
10.8,0.302
12.3,0.317
8.1,0.321
6.3,0.318
6,0.318
7.3,0.316
7.9,0.31
8.3,0.296
9.6,0.295
13,0.282
14.5,0.289
14.2,0.274
9.4,0.247
7.8,0.284
8.9,0.277
10.1,0.243
13.6,0.271
12.8,0.272
8.9,0.264
6.3,0.194
7,0.186
5.7,0.065
5.3,0.142
7.3,0.154
8.1,0.247
6.9,0.241
6.3,0.251
5.3,0.247
5.3,0.187
5.9,0.237
7.6,0.219
9.5,0.24
9.2,0.241
8.7,0.242
6.3,0.216
8,0.231
6,0.237
5,0.233
7.9,0.228
9.7,0.093
5.3,0.23
10.6,0.226
8.3,0.203
6.3,0.158
9.1,0.159
7.3,0.198
6.2,0.209
4.8,0.086
9.2,0.214
9.4,0.408
11.1,0.295
17.4,0.387
13.5,0.399
11.3,0.37
13,0.367
15.9,0.372
16.8,0.352
14,0.325
10.1,0.381
10.2,0.389
14.7,0.381
13.1,0.379
8,0.365
9.3,0.329
9.1,0.362
8.6,0.355
8.1,0.36
9.3,0.353
8.6,0.37
8.3,0.368
8.3,0.355
8.9,0.276
5.8,0.357
7.6,0.364
9.1,0.29
4.1,0.147
3.9,0.243
3.7,0.239
3.9,0.27
5.6,0.342
7.5,0.344
10,0.332
8.7,0.27
4.9,0.265
5.9,0.322
10.1,0.341
7.1,0.338
8.2,0.326
3.9,0.318
8.1,0.314
