radiation,carbon 
0.304,0.2
0.292,0.2
0.389,0.2
0.435,0.2
0.31,0.1
0.245,0.2
0.208,0.2
0.422,0.1
0.42,0.3
0.42,0.4
0.417,0.4
0.416,0.4
0.413,0.4
0.411,0.3
0.41,0.3
0.405,0.3
0.399,0.3
0.394,0.4
0.354,0.4
0.147,0.5
0.386,0.4
0.374,0.4
0.393,0.5
0.392,0.5
0.319,0.4
0.343,0.3
0.374,0.5
0.374,0.6
0.367,0.4
0.373,0.4
0.283,0.4
0.341,0.4
0.366,0.3
0.358,0.4
0.355,0.3
0.32,0.3
0.245,0.3
0.091,0.3
0.33,0.3
0.35,0.6
0.299,0.6
0.076,0.4
0.232,0.4
0.286,0.3
0.123,0.2
0.148,0.2
0.11,0.3
0.059,0.3
0.246,0.3
0.253,0.3
0.22,0.3
0.211,0.4
0.074,0.4
0.283,0.4
0.327,0.4
0.317,0.5
0.311,0.5
0.301,0.5
0.289,0.5
0.154,0.3
0.141,0.4
0.271,0.3
0.291,0.4
0.282,0.3
0.274,0.3
0.278,0.3
0.278,0.3
0.276,0.4
0.275,0.3
0.249,0.3
0.23,0.5
0.259,0.4
0.238,0.2
0.261,0.3
0.252,0.8
0.259,0.7
0.252,0.6
0.254,0.5
0.236,0.6
0.242,0.5
0.242,0.3
0.238,0.7
0.132,0.5
0.233,0.3
0.208,0.3
0.235,0.3
0.23,0.3
0.236,0.4
0.235,0.3
0.211,0.5
0.167,0.3
0.42,0.3
0.431,0.3
0.431,0.4
0.404,0.3
0.31,0.4
0.362,0.4
0.429,0.4
0.43,0.4
0.371,0.4
0.355,0.4
0.406,0.4
0.425,0.4
0.301,0.3
0.241,0.3
0.207,0.4
0.302,0.4
0.357,0.4
0.398,0.4
0.36,0.3
0.396,0.3
0.103,0.4
0.326,0.4
0.387,0.3
0.367,0.3
0.378,0.3
0.387,0.3
0.375,0.3
0.383,0.3
0.383,0.3
0.228,0.4
0.199,0.4
0.347,0.4
0.293,0.4
0.226,0.5
0.356,0.4
0.364,0.3
0.344,0.3
0.267,0.4
0.35,0.3
0.356,0.2
0.35,0.2
0.342,0.4
0.324,0.5
0.233,0.4
0.319,0.4
0.334,0.3
0.328,0.6
0.279,0.3
0.326,0.3
0.325,0.2
0.328,0.3
0.324,0.3
0.317,0.3
0.306,0.2
0.31,0.3
0.316,0.2
0.308,0.3
0.267,0.3
0.299,0.3
0.227,0.2
0.304,0.3
0.297,0.4
0.261,0.3
0.233,0.4
0.27,0.4
0.267,0.5
0.173,0.4
0.12,0.3
0.136,0.5
0.258,0.6
0.242,0.4
0.09,0.2
0.138,0.2
0.263,0.3
0.259,0.3
0.254,0.5
0.224,0.5
0.184,0.5
0.255,0.5
0.181,0.4
0.241,0.4
0.163,0.4
0.214,0.3
0.242,0.5
0.21,0.3
0.121,0.2
0.186,0.2
0.057,0.2
0.112,0.3
0.218,0.3
0.176,0.3
0.411,0
0.445,0.1
0.445,0.3
0.441,0
0.438,0
0.433,0.1
0.41,0.2
0.396,0.1
0.21,0
0.253,0.1
0.323,0.1
0.274,0.1
0.31,0.1
0.233,0.1
0.377,0.2
0.38,0.2
0.383,0.1
0.35,0.1
0.386,0.2
0.382,0.2
0.367,0.3
0.371,0.2
0.367,0.2
0.386,0.2
0.383,0.3
0.381,0.1
0.383,0.1
0.369,0.1
0.377,0.3
0.38,0.4
0.377,0.2
0.367,0.3
0.367,0.1
0.359,0.2
0.355,0.3
0.356,0.3
0.35,0.4
0.348,0.4
0.351,0.2
0.351,0.1
0.346,0.1
0.334,0.2
0.334,0.4
0.342,0.2
0.329,0.1
0.329,0.1
0.325,0.2
0.327,0.2
0.307,0.2
0.324,0.2
0.316,0.3
0.315,0.1
0.308,0.1
0.303,0.2
0.26,0.1
0.295,0.1
0.126,0.2
0.303,0.2
0.297,0.3
0.289,0.5
0.231,0.4
0.234,0.1
0.291,0.2
0.281,0.3
0.271,0.5
0.283,0.2
0.257,0.2
0.27,0.1
0.195,0.1
0.252,0.1
0.257,0.2
0.267,0.3
0.265,0.3
0.264,0.3
0.26,0.1
0.263,0.3
0.259,0.4
0.246,0.3
0.238,0.3
0.236,0.4
0.232,0.5
0.213,0.3
0.228,0.1
0.196,0.2
0.239,0.2
0.243,0.2
0.242,0.4
0.232,0.3
0.234,0.2
0.235,0.2
0.232,0.2
0.331,0.1
0.39,0.1
0.401,0.2
0.382,0.1
0.17,0.1
0.421,0.1
0.396,0.2
0.369,0.2
0.42,0.2
0.418,0.3
0.397,0.3
0.4,0.2
0.411,0.3
0.411,0.2
0.36,0.1
0.401,0.1
0.405,0.1
0.404,0.1
0.403,0.1
0.402,0
0.396,0.1
0.363,0.1
0.31,0.1
0.33,0.1
0.191,0.1
0.354,0
0.368,0
0.351,0
0.366,0
0.25,0
0.377,0.1
0.381,0
0.368,0
0.372,0.1
0.354,0
0.358,0.1
0.356,0
0.357,0.1
0.368,0
0.366,0
0.353,0.1
0.336,0
0.35,0
0.353,0
0.354,0
0.338,0
0.326,0.1
0.325,0.1
0.331,0
0.328,0.1
0.321,0.2
0.308,0.2
0.32,0
0.317,0
0.312,0.2
0.296,0
0.318,0.1
0.311,0.3
0.307,0.5
0.303,0.4
0.279,0.3
0.294,0.4
0.288,0.2
0.289,0.2
0.285,0.3
0.285,0.5
0.282,0.6
0.277,0.5
0.182,0.5
0.279,0.3
0.257,0.3
0.277,0.4
0.273,0.4
0.267,0.4
0.27,0.5
0.269,0.3
0.372,0.2
