radiation,ozone
0.287,34
0.412,38
0.361,34
0.379,33
0.402,31
0.105,20
0.286,19
0.249,23
0.409,29
0.398,28
0.394,39
0.272,33
0.398,23
0.343,24
0.377,26
0.392,21
0.385,23
0.389,21
0.383,24
0.305,21
0.312,22
0.358,22
0.352,27
0.334,31
0.265,30
0.101,31
0.278,25
0.329,20
0.332,39
0.306,33
0.337,25
0.347,23
0.293,21
0.351,29
0.347,26
0.34,25
0.241,28
0.231,25
0.256,27
0.304,24
0.319,16
0.323,15
0.302,25
0.317,17
0.321,21
0.318,27
0.318,28
0.316,24
0.31,25
0.296,41
0.295,32
0.282,25
0.289,25
0.274,18
0.247,22
0.284,19
0.277,30
0.243,20
0.271,22
0.272,20
0.264,20
0.194,22
0.186,17
0.065,27
0.142,25
0.154,17
0.247,16
0.241,24
0.251,32
0.247,29
0.187,25
0.237,22
0.219,24
0.24,19
0.241,23
0.242,21
0.216,13
0.231,34
0.237,29
0.233,28
0.228,17
0.093,15
0.23,29
0.226,14
0.203,25
0.158,32
0.159,18
0.198,32
0.209,39
0.086,37
0.214,19
0.408,35
0.295,29
0.387,36
0.399,43
0.37,42
0.367,41
0.372,32
0.352,40
0.325,46
0.381,47
0.389,39
0.381,40
0.379,28
0.365,31
0.329,30
0.362,30
0.355,38
0.36,35
0.353,31
0.37,25
0.368,26
0.355,16
0.276,29
0.357,25
0.364,20
0.29,22
0.147,24
0.243,21
0.239,27
0.27,23
0.342,23
0.344,23
0.332,28
0.27,23
0.265,19
0.322,22
0.341,26
0.338,26
0.326,29
0.318,29
0.314,28
0.298,30
0.292,20
0.27,30
0.314,38
0.303,35
0.291,28
0.194,22
0.274,30
0.276,28
0.294,27
0.298,25
0.295,19
0.285,34
0.285,25
0.282,28
0.274,31
0.272,31
0.275,23
0.261,32
0.258,25
0.238,26
0.263,17
0.225,18
0.111,13
0.255,18
0.243,16
0.2,10
0.177,15
0.236,15
0.238,14
0.234,16
0.214,20
0.221,23
0.235,13
0.236,21
0.23,12
0.221,18
0.19,30
0.214,33
0.212,19
0.207,18
0.214,23
0.219,21
0.22,25
0.217,15
0.214,21
0.212,9
0.21,35
0.2,21
0.304,40
0.292,37
0.389,37
0.435,36
0.31,37
0.245,35
0.208,33
0.422,33
0.42,45
0.42,40
0.417,38
0.416,35
0.413,33
0.411,34
0.41,34
0.405,35
0.399,31
0.394,23
0.354,27
0.147,15
0.386,24
0.374,32
0.393,34
0.392,20
0.319,29
0.343,36
0.374,30
0.374,22
0.367,30
0.373,27
0.283,21
0.341,22
0.366,13
0.358,16
0.355,18
0.32,24
0.245,28
0.091,33
0.33,32
0.35,22
0.299,18
0.076,19
0.232,18
0.286,22
0.123,21
0.148,27
0.11,28
0.059,23
0.246,20
0.253,28
0.22,32
0.211,18
0.074,12
0.283,19
0.327,18
0.317,14
0.311,17
0.301,15
0.289,17
0.154,20
0.141,21
0.271,20
0.291,20
0.282,30
0.274,30
0.278,29
0.278,27
0.276,22
0.275,26
0.249,27
0.23,27
0.259,22
0.238,32
0.261,23
0.252,12
0.259,11
0.252,12
0.254,22
0.236,14
0.242,16
0.242,33
0.238,21
0.132,15
0.233,31
0.208,31
0.235,31
0.23,26
0.236,14
0.235,22
0.211,20
0.167,28
0.42,34
0.431,42
0.431,38
0.404,43
0.31,38
0.362,38
0.429,37
0.43,44
0.371,36
0.355,29
0.406,24
0.425,32
0.301,31
0.241,32
0.207,33
0.302,33
0.357,33
0.398,38
0.36,33
0.396,30
0.103,23
0.326,27
0.387,19
0.367,26
0.378,25
0.387,22
0.375,21
0.383,22
0.383,28
0.228,19
0.199,22
0.347,30
0.293,25
0.226,25
0.356,21
0.364,30
0.344,36
0.267,35
0.35,22
0.356,25
0.35,26
0.342,31
0.324,25
0.233,14
0.319,24
0.334,31
0.328,25
0.279,27
0.326,31
0.325,36
0.328,22
0.324,20
0.317,17
0.306,26
0.31,21
0.316,21
0.308,34
0.267,33
0.299,29
0.227,36
0.304,22
0.297,15
0.261,31
0.233,21
0.27,20
0.267,14
0.173,32
0.12,14
0.136,8
0.258,14
0.242,13
0.09,19
0.138,16
0.263,15
0.259,21
0.254,24
0.224,21
0.184,13
0.255,15
0.181,13
0.241,17
0.163,15
0.214,24
0.242,18
0.21,18
0.121,24
0.186,32
0.057,25
0.112,12
0.218,23
0.176,35
0.411,36
0.445,39
0.445,37
0.441,50
0.438,44
0.433,30
0.41,22
0.396,35
0.21,19
0.253,21
0.323,26
0.274,29
0.31,45
0.233,36
0.377,34
0.38,32
0.383,44
0.35,46
0.386,48
0.382,43
0.367,37
0.371,39
0.367,34
0.386,28
0.383,28
0.381,35
0.383,36
0.369,38
0.377,32
0.38,22
0.377,32
0.367,29
0.367,32
0.359,37
0.355,25
0.356,21
0.35,24
0.348,21
0.351,25
0.351,30
0.346,28
0.334,24
0.334,20
0.342,25
0.329,32
0.329,39
0.325,28
0.327,29
0.307,24
0.324,22
0.316,19
0.315,25
0.308,26
0.303,26
0.26,29
0.295,20
0.126,22
0.303,20
0.297,17
0.289,15
0.231,16
0.234,37
0.291,32
0.281,22
0.271,17
0.283,22
0.257,25
0.27,31
0.195,31
0.252,30
0.257,21
0.267,14
0.265,14
0.264,18
0.26,31
0.263,22
0.259,9
0.246,15
0.238,25
0.236,21
0.232,20
0.213,32
0.228,25
0.196,21
0.239,31
0.243,23
0.242,21
0.232,20
0.234,24
0.235,26
0.232,25
0.331,23
0.39,34
0.401,40
0.382,31
0.17,30
0.421,33
0.396,28
0.369,33
0.42,32
0.418,27
0.397,33
0.4,43
0.411,40
0.411,31
0.36,39
0.401,36
0.405,31
0.404,37
0.403,40
0.402,31
0.396,39
0.363,38
0.31,35
0.33,32
0.191,28
0.354,30
0.368,25
0.351,24
0.366,26
0.25,36
0.377,27
0.381,32
0.368,41
0.372,39
0.354,41
0.358,25
0.356,16
0.357,12
0.368,23
0.366,36
0.353,24
0.336,35
0.35,29
0.353,34
0.354,32
0.338,40
0.326,34
0.325,23
0.331,21
0.328,15
0.321,14
0.308,21
0.32,27
0.317,21
0.312,15
0.296,35
0.318,32
0.311,18
0.307,15
0.303,17
0.279,26
0.294,17
0.288,17
0.289,24
0.285,21
0.285,16
0.282,17
0.277,15
0.182,11
0.279,14
0.257,22
0.277,15
0.273,17
0.267,21
0.27,18
0.269,27
0.372,34
