radiation,wind
0.287,7.1
0.412,7.1
0.361,6.3
0.379,6.7
0.402,9
0.105,5.4
0.286,6.4
0.249,6.7
0.409,6.6
0.398,11.2
0.394,5.1
0.272,8
0.398,5.2
0.343,5.1
0.377,6.5
0.392,5.1
0.385,4.1
0.389,4.1
0.383,3.5
0.305,5.9
0.312,5.6
0.358,7.3
0.352,8.6
0.334,6.3
0.265,9
0.101,10.5
0.278,5
0.329,4.9
0.332,8.6
0.306,5.6
0.337,6
0.347,5.7
0.293,7.7
0.351,7.9
0.347,5.4
0.34,6.1
0.241,10.8
0.231,10.6
0.256,8.3
0.304,5
0.319,4.9
0.323,4.9
0.302,6.7
0.317,4
0.321,5.5
0.318,6.1
0.318,8.6
0.316,6.9
0.31,5.9
0.296,11.7
0.295,6.1
0.282,3.7
0.289,3
0.274,3.4
0.247,4.9
0.284,4.3
0.277,6
0.243,6.1
0.271,3.4
0.272,3.8
0.264,5
0.194,5.9
0.186,7.5
0.065,13.6
0.142,15
0.154,7.4
0.247,5
0.241,5.1
0.251,9.8
0.247,8.1
0.187,8.1
0.237,4.9
0.219,5.9
0.24,3.7
0.241,4.3
0.242,5.2
0.216,3.6
0.231,10
0.237,7
0.233,10.2
0.228,5
0.093,6.2
0.23,8.3
0.226,4.4
0.203,5.5
0.158,10.5
0.159,7.1
0.198,10.3
0.209,13.2
0.086,11.9
0.214,3.7
0.408,6.2
0.295,4.4
0.387,5.3
0.399,6
0.37,7.8
0.367,7
0.372,4
0.352,7.2
0.325,7.8
0.381,8.1
0.389,6.3
0.381,4
0.379,6
0.365,7.3
0.329,6.5
0.362,5.5
0.355,5.4
0.36,7.2
0.353,7.9
0.37,7.2
0.368,6
0.355,4.7
0.276,6.9
0.357,4.8
0.364,5.9
0.29,8.8
0.147,10.5
0.243,9.5
0.239,10.6
0.27,8.8
0.342,6.1
0.344,5.5
0.332,5.3
0.27,9.2
0.265,7.4
0.322,6.7
0.341,3.6
0.338,8.1
0.326,9.2
0.318,10.8
0.314,7.3
0.298,4.9
0.292,4.3
0.27,6.9
0.314,10.3
0.303,7.5
0.291,4.3
0.194,4.3
0.274,7
0.276,7.3
0.294,8.9
0.298,3.9
0.295,5.5
0.285,10.9
0.285,4.5
0.282,9.5
0.274,11.9
0.272,7.9
0.275,4.1
0.261,9
0.258,8
0.238,8.5
0.263,6.8
0.225,5.8
0.111,5
0.255,6.7
0.243,6.4
0.2,4.2
0.177,6.6
0.236,6.8
0.238,4.6
0.234,4.4
0.214,6.4
0.221,6.5
0.235,3.9
0.236,7.2
0.23,3.7
0.221,7.6
0.19,8.2
0.214,6.8
0.212,5.7
0.207,7.7
0.214,5.8
0.219,3.9
0.22,7.3
0.217,4
0.214,3.6
0.212,2.6
0.21,9.9
0.165,6.7
0.2,5.2
0.304,7
0.292,7.6
0.389,7.4
0.435,4.3
0.31,6.4
0.245,5.3
0.208,5.7
0.422,5.2
0.42,5.5
0.42,5.4
0.417,6.2
0.416,5.4
0.413,6.4
0.411,7.3
0.41,8.9
0.405,7.9
0.399,7.8
0.394,6.6
0.354,7.4
0.147,5
0.386,8
0.374,6.1
0.393,3.6
0.392,3.6
0.319,6.4
0.343,11.3
0.374,5.1
0.374,3.8
0.367,6.2
0.373,6
0.283,6.9
0.341,5.6
0.366,5.4
0.358,4.9
0.355,5.7
0.32,5.8
0.245,8.8
0.091,6.3
0.33,8.1
0.35,4
0.299,4.5
0.076,5.4
0.232,4.4
0.286,5.9
0.123,12.8
0.148,10.8
0.11,10.2
0.059,8.2
0.246,7.8
0.253,11.8
0.22,9.5
0.211,6.4
0.074,5.8
0.283,5.8
0.327,5.4
0.317,3.5
0.311,3.1
0.301,2.5
0.289,4.5
0.154,6.8
0.141,6.7
0.271,5.8
0.291,4.5
0.282,6.8
0.274,6.4
0.278,7.8
0.278,7.6
0.276,5.4
0.275,6.6
0.249,13.1
0.23,7.4
0.259,7.5
0.238,10.6
0.261,3.9
0.252,2.5
0.259,2.8
0.252,3.2
0.254,5.4
0.236,5.2
0.242,3.8
0.242,8.3
0.238,4.2
0.132,5.1
0.233,8.8
0.208,8.7
0.235,6.6
0.23,6.2
0.236,4.5
0.235,7.4
0.211,4.9
0.167,11.8
0.42,6.4
0.431,6.3
0.431,6.5
0.404,7.9
0.31,4.9
0.362,5.7
0.429,7.3
0.43,6
0.371,4.7
0.355,4.8
0.406,5.1
0.425,5.8
0.301,8.7
0.241,6.9
0.207,7.9
0.302,4.1
0.357,4.9
0.398,6
0.36,4.3
0.396,4.8
0.103,4.7
0.326,3.4
0.387,4.8
0.367,7.9
0.378,6.1
0.387,8.5
0.375,7
0.383,4.2
0.383,6.1
0.228,8.4
0.199,7.3
0.347,4.5
0.293,7
0.226,7.1
0.356,4.3
0.364,6.5
0.344,11.3
0.267,7.5
0.35,6.6
0.356,8
0.35,10.8
0.342,6.7
0.324,3.6
0.233,4.7
0.319,5.4
0.334,9.2
0.328,5.3
0.279,10.2
0.326,5.4
0.325,9.6
0.328,4.2
0.324,3.8
0.317,3.6
0.306,9.4
0.31,3.9
0.316,4.9
0.308,7
0.267,8
0.299,7.5
0.227,8.9
0.304,5.4
0.297,4.1
0.261,8.5
0.233,3.5
0.27,4
0.267,3.7
0.173,6.6
0.12,7.7
0.136,5.6
0.258,3.5
0.242,4.2
0.09,10.4
0.138,9.3
0.263,6.5
0.259,7.4
0.254,5.4
0.224,3.6
0.184,4
0.255,5.1
0.181,5.3
0.241,6.8
0.163,8.6
0.214,5.1
0.242,3.6
0.21,6.6
0.121,7.5
0.186,11.2
0.057,11.2
0.112,5.6
0.218,10.1
0.176,10
0.411,9
0.445,5.1
0.445,3.9
0.441,9.3
0.438,9.6
0.433,4.6
0.41,4.1
0.396,10.6
0.21,15.6
0.253,10.9
0.323,6
0.274,4.6
0.31,6.3
0.233,7.3
0.377,4.1
0.38,4.2
0.383,5.8
0.35,7.3
0.386,6.8
0.382,6.5
0.367,5.7
0.371,4.9
0.367,6
0.386,4.1
0.383,4.9
0.381,8.6
0.383,8.9
0.369,12.4
0.377,5.3
0.38,3
0.377,6.6
0.367,6.1
0.367,6.6
0.359,7.1
0.355,4
0.356,3
0.35,3.6
0.348,3.2
0.351,5.1
0.351,6.2
0.346,7.2
0.334,5.9
0.334,3.2
0.342,7.7
0.329,9.8
0.329,10.9
0.325,4.4
0.327,6.3
0.307,6.1
0.324,5
0.316,3.6
0.315,7.2
0.308,7.9
0.303,6.9
0.26,8.8
0.295,14.9
0.126,8.6
0.303,7
0.297,4.8
0.289,4.5
0.231,3
0.234,10.3
0.291,5.3
0.281,3.7
0.271,2.4
0.283,5.4
0.257,6.1
0.27,7.5
0.195,8.5
0.252,10.7
0.257,4.4
0.267,3.6
0.265,4.1
0.264,3.5
0.26,9.6
0.263,3.6
0.259,3.5
0.246,5.7
0.238,6.9
0.236,3.8
0.232,4
0.213,5.7
0.228,10.4
0.196,8.7
0.239,10
0.243,5.8
0.242,4.5
0.232,4.8
0.234,5.2
0.235,7.7
0.232,7
0.331,6.2
0.39,5
0.401,4.8
0.382,6
0.17,6.2
0.421,3.9
0.396,3.8
0.369,6.3
0.42,4.8
0.418,4.3
0.397,4.1
0.4,5.7
0.411,4.9
0.411,4.2
0.36,6.2
0.401,4.7
0.405,4.4
0.404,5.9
0.403,6.6
0.402,8.8
0.396,10.5
0.363,7.2
0.31,6.8
0.33,4.2
0.191,6
0.354,5.2
0.368,5.8
0.351,8.2
0.366,6.8
0.25,7.3
0.377,4.3
0.381,4
0.368,6
0.372,5.4
0.354,6.4
0.358,4.1
0.356,5.3
0.357,4.1
0.368,8.1
0.366,10.7
0.353,6
0.336,13
0.35,4.9
0.353,8.2
0.354,6.7
0.338,10.1
0.326,7.4
0.325,6.2
0.331,6.7
0.328,3.4
0.321,3.2
0.308,3.4
0.32,7.7
0.317,6.6
0.312,3.3
0.296,13.1
0.318,9.9
0.311,3.7
0.307,4.1
0.303,4.5
0.279,5.9
0.294,4.5
0.288,5.5
0.289,7.4
0.285,6.1
0.285,3.1
0.282,2.8
0.277,2.6
0.182,3.2
0.279,4.9
0.257,6.5
0.277,4.1
0.273,5
0.267,4.5
0.27,4.1
0.269,6.4
0.372,9.1
