sulfur,pm10
0.4,17.8
0.5,22.2
0.6,22.5
0.8,24.7
0.8,25.4
0.7,19.2
0.7,17
0.7,16.2
0.7,22.1
0.6,34.4
1.5,31.1
0.9,25.1
0.9,24.5
1.1,30.9
0.9,28.9
0.9,23.8
0.9,30.6
0.8,29.2
1.1,39.9
0.9,30.7
1.6,30.1
1.7,30.7
0.7,24.6
0.6,25.6
0.3,35.6
0.3,18.9
0.5,33.6
0.5,27.6
0.4,18.7
0.3,20.9
0.4,15.6
0.5,24.8
0.4,20.6
0.5,22.3
0.4,23
0.5,25.6
0.3,33.6
0.2,15.7
0.5,16.2
1,29.2
0.8,30.9
1.1,32.5
1.3,38.6
1.2,42.1
1,28.5
1,24.2
1,25.1
1.1,28.2
1,30.7
0.7,40.4
1.1,37.3
1.4,40.5
0.9,44
1.2,47.6
0.9,33.4
0.7,25.3
0.9,33
0.9,36.7
1.3,45.1
1.7,44
1.3,36.6
1.3,29.7
1.2,31.5
0.8,26.1
0.8,22.6
1,28
0.8,24.9
0.7,21.4
0.5,23.7
0.6,21
0.6,17.9
0.6,19.7
0.6,20.9
1,24.4
1,32.9
1.1,33.5
1.5,33.4
0.8,53.4
0.5,26.1
0.5,23.9
0.9,28.6
1.1,34.2
0.7,21
1.3,38.8
0.8,25.8
0.6,23.3
0.8,23.5
0.9,33
1,35.2
0.9,18.6
1.2,23.5
1.7,35
1.7,35.1
1.3,38.9
1.3,29.9
1.4,32.9
1.6,43
1.7,48.8
1.5,44.6
1.5,31
1.1,25.1
1,29
1.4,42.4
1.2,43
1,28.1
1,31.3
0.9,27.4
0.7,29.5
0.5,30.6
0.7,33.7
0.7,30.2
0.7,27.4
1.1,29.9
0.8,31.5
0.6,20.3
0.7,28.5
0.7,31
0.4,14.4
0.3,15.6
0.2,16.2
0.3,16.6
0.8,22.5
1,28.6
1,31.2
0.6,21.8
0.6,24.3
1,24.6
1.1,38.3
1.2,34.5
1,36.3
0.8,23.4
1.1,28.7
1.4,40.2
1.2,39
0.8,20.6
0.2,33.5
0.3,24.7
0.5,37.1
0.8,46.1
0.5,30.3
0.6,26.5
0.5,26.8
0.7,26.6
1,30
0.4,35.3
1,40.5
0.9,47.2
0.6,58
1,31.1
1.5,32.4
1.4,36.7
1.6,35.4
1.5,29.7
1.5,28.5
1.3,24.3
1.6,28.7
1,21.4
1.1,25.7
1.1,26
1,25
1.2,23
1.5,35.4
1.3,25.7
1,25.4
1,39.7
1.5,39.2
0.9,28
1.5,42.7
1.3,30.9
0.7,25.4
0.8,26
1,32
0.9,37.2
0.9,46.5
0.9,36.9
0.7,26.8
1.1,40.3
1.7,47.9
2.5,59.1
1.1,34.7
1.4,35.8
1.6,39.2
