sulfur,temp
0.4,73.8
0.5,77.7
0.6,80.5
0.8,82.2
0.8,83.3
0.7,74.1
0.7,73.3
0.7,75.3
0.7,79.9
0.6,74.9
1.5,75.9
0.9,78.6
0.9,78.2
1.1,79.9
0.9,81
0.9,79.7
0.9,79.4
0.8,80.5
1.1,82.1
0.9,84.2
1.6,84.1
1.7,83.3
0.7,79.9
0.6,73.7
0.3,70.4
0.3,60.6
0.5,64.5
0.5,72.2
0.4,76.3
0.3,69.2
0.4,73.5
0.5,75.5
0.4,76.7
0.5,71
0.4,72.6
0.5,74.4
0.3,67.1
0.2,65.3
0.5,69.8
1,73.2
0.8,77.1
1.1,77.4
1.3,73.7
1.2,73.2
1,75.6
1,76.6
1,76.2
1.1,74.8
1,74.1
0.7,67.4
1.1,67.2
1.4,69.4
0.9,71
1.2,72.9
0.9,74.4
0.7,72.8
0.9,74.7
0.9,72.4
1.3,72.5
1.7,72
1.3,72.9
1.3,73
1.2,70.2
0.8,64.8
0.8,64.3
1,66.4
0.8,62.9
0.7,63.8
0.5,63.3
0.6,55.4
0.6,54.8
0.6,57.3
0.6,57.8
1,58.2
1,60.2
1.1,61.5
1.5,62.6
0.8,67.6
0.5,55
0.5,52.7
0.9,56.6
1.1,59.9
0.7,55.9
1.3,53.4
0.8,53.8
0.6,54.2
0.8,55
0.9,59.6
1,49.7
0.9,47.2
1.2,42.2
1.7,81
1.7,82.1
1.3,82.5
1.3,81.8
1.4,81.5
1.6,79.1
1.7,82.1
1.5,81.5
1.5,79.7
1.1,79.5
1,80.6
1.4,82.6
1.2,84.5
1,83.6
1,82.3
0.9,80.3
0.7,80.7
0.5,81.9
0.7,82.2
0.7,81.3
0.7,83.2
1.1,83.9
0.8,79.4
0.6,76.6
0.7,75.4
0.7,72.5
0.4,65.7
0.3,68.3
0.2,71.1
0.3,71.1
0.8,76.8
1,80.3
1,78.9
0.6,78.5
0.6,80.9
1,80.5
1.1,70.4
1.2,73
1,73.2
0.8,59.3
1.1,67.2
1.4,75.7
1.2,78.9
0.8,79.2
0.2,65.9
0.3,67.3
0.5,71.1
0.8,72.8
0.5,72
0.6,71.8
0.5,70.9
0.7,66.3
1,68
0.4,63.4
1,62.3
0.9,69.8
0.6,55.5
1,55.3
1.5,61.7
1.4,65.4
1.6,57.7
1.5,66.2
1.5,65.7
1.3,67.8
1.6,64.5
1,69
1.1,68.6
1.1,68.5
1,57.2
1.2,55.9
1.5,62.5
1.3,67.1
1,64.1
1,62.8
1.5,67.7
0.9,66.6
1.5,65.9
1.3,69.8
0.7,59.5
0.8,52.7
1,53.8
0.9,60.4
0.9,57.2
0.9,57.8
0.7,63.3
1.1,63.1
1.7,62.2
2.5,61.7
1.1,65
1.4,52.5
1.6,57.4
