temp,ozone
73.8,34
77.7,38
80.5,34
82.2,33
83.3,31
74.1,20
73.3,19
75.3,23
79.9,29
74.9,28
75.9,39
78.6,33
78.2,23
79.9,24
81,26
79.7,21
79.4,23
80.5,21
82.1,24
84.2,21
84.1,22
83.3,22
79.9,27
73.7,31
70.4,30
60.6,31
64.5,25
72.2,20
76.3,39
69.2,33
73.5,25
75.5,23
76.7,21
71,29
72.6,26
74.4,25
67.1,28
65.3,25
69.8,27
73.2,24
77.1,16
77.4,15
73.7,25
73.2,17
75.6,21
76.6,27
76.2,28
74.8,24
74.1,25
67.4,41
67.2,32
69.4,25
71,25
72.9,18
74.4,22
72.8,19
74.7,30
72.4,20
72.5,22
72,20
72.9,20
73,22
70.2,17
64.8,27
64.3,25
66.4,17
62.9,16
63.8,24
63.3,32
55.4,29
54.8,25
57.3,22
57.8,24
58.2,19
60.2,23
61.5,21
62.6,13
67.6,34
55,29
52.7,28
56.6,17
59.9,15
55.9,29
53.4,14
53.8,25
54.2,32
55,18
59.6,32
49.7,39
47.2,37
42.2,19
81,35
82.1,29
82.5,36
81.8,43
81.5,42
79.1,41
82.1,32
81.5,40
79.7,46
79.5,47
80.6,39
82.6,40
84.5,28
83.6,31
82.3,30
80.3,30
80.7,38
81.9,35
82.2,31
81.3,25
83.2,26
83.9,16
79.4,29
76.6,25
75.4,20
72.5,22
65.7,24
68.3,21
71.1,27
71.1,23
76.8,23
80.3,23
78.9,28
78.5,23
80.9,19
80.5,22
70.4,26
73,26
73.2,29
59.3,29
67.2,28
75.7,30
78.9,20
79.2,30
65.9,38
67.3,35
71.1,28
72.8,22
72,30
71.8,28
70.9,27
66.3,25
68,19
63.4,34
62.3,25
69.8,28
55.5,31
55.3,31
61.7,23
65.4,32
57.7,25
66.2,26
65.7,17
67.8,18
64.5,13
69,18
68.6,16
68.5,10
57.2,15
55.9,15
62.5,14
67.1,16
64.1,20
62.8,23
67.7,13
66.6,21
65.9,12
69.8,18
59.5,30
52.7,33
53.8,19
60.4,18
57.2,23
57.8,21
63.3,25
63.1,15
62.2,21
61.7,9
65,35
57.4,21
82.2,40
76.3,37
78,37
80.8,36
80.2,37
71.8,35
73.8,33
75.5,33
78.2,45
81.2,40
81,38
83.2,35
84,33
82.6,34
80.5,34
78.4,35
79.5,31
79.8,23
79.2,27
70.3,15
73.4,24
71,32
73.3,34
77.3,20
80.9,29
72,36
73.5,30
79.6,22
80.2,30
79.3,27
77.8,21
79.8,22
79.4,13
80.6,16
80.4,18
78.3,24
74.8,28
57.2,33
59.9,32
64.1,22
69.5,18
61.5,19
63,18
65.2,22
46.1,21
46.8,27
50.6,28
51.5,23
60,20
64.1,28
61.9,32
63.4,18
63,12
61.8,19
63.8,18
63.5,14
64.4,17
65.3,15
67.4,17
68,20
57.9,21
54.1,20
57.1,20
62.2,30
59.3,30
66.8,29
66.9,27
66.5,22
66,26
52,27
52.3,27
57.3,22
40.9,32
37.1,23
42.7,12
47.7,11
49.6,12
55.8,22
52.8,14
52.3,16
53.5,33
53.9,21
53.5,15
55.5,31
56.7,31
52.1,31
49.5,26
49.5,14
56.5,22
59.7,20
53.6,28
84.9,34
84.9,42
84.8,38
84.1,43
82.7,38
85.3,38
85.2,37
82.3,44
79.8,36
80.3,29
82,24
83,32
80.2,31
77.8,32
71.5,33
75.2,33
79.2,33
81.7,38
82.9,33
83.1,30
72,23
75,27
79.8,19
