temp,wind
73.8,7.1
77.7,7.1
80.5,6.3
82.2,6.7
83.3,9
74.1,5.4
73.3,6.4
75.3,6.7
79.9,6.6
74.9,11.2
75.9,5.1
78.6,8
78.2,5.2
79.9,5.1
81,6.5
79.7,5.1
79.4,4.1
80.5,4.1
82.1,3.5
84.2,5.9
84.1,5.6
83.3,7.3
79.9,8.6
73.7,6.3
70.4,9
60.6,10.5
64.5,5
72.2,4.9
76.3,8.6
69.2,5.6
73.5,6
75.5,5.7
76.7,7.7
71,7.9
72.6,5.4
74.4,6.1
67.1,10.8
65.3,10.6
69.8,8.3
73.2,5
77.1,4.9
77.4,4.9
73.7,6.7
73.2,4
75.6,5.5
76.6,6.1
76.2,8.6
74.8,6.9
74.1,5.9
67.4,11.7
67.2,6.1
69.4,3.7
71,3
72.9,3.4
74.4,4.9
72.8,4.3
74.7,6
72.4,6.1
72.5,3.4
72,3.8
72.9,5
73,5.9
70.2,7.5
64.8,13.6
64.3,15
66.4,7.4
62.9,5
63.8,5.1
63.3,9.8
55.4,8.1
54.8,8.1
57.3,4.9
57.8,5.9
58.2,3.7
60.2,4.3
61.5,5.2
62.6,3.6
67.6,10
55,7
52.7,10.2
56.6,5
59.9,6.2
55.9,8.3
53.4,4.4
53.8,5.5
54.2,10.5
55,7.1
59.6,10.3
49.7,13.2
47.2,11.9
42.2,3.7
81,6.2
82.1,4.4
82.5,5.3
81.8,6
81.5,7.8
79.1,7
82.1,4
81.5,7.2
79.7,7.8
79.5,8.1
80.6,6.3
82.6,4
84.5,6
83.6,7.3
82.3,6.5
80.3,5.5
80.7,5.4
81.9,7.2
82.2,7.9
81.3,7.2
83.2,6
83.9,4.7
79.4,6.9
76.6,4.8
75.4,5.9
72.5,8.8
65.7,10.5
68.3,9.5
71.1,10.6
71.1,8.8
76.8,6.1
80.3,5.5
78.9,5.3
78.5,9.2
80.9,7.4
80.5,6.7
70.4,3.6
73,8.1
73.2,9.2
59.3,10.8
67.2,7.3
75.7,4.9
78.9,4.3
79.2,6.9
65.9,10.3
67.3,7.5
71.1,4.3
72.8,4.3
72,7
71.8,7.3
70.9,8.9
66.3,3.9
68,5.5
63.4,10.9
62.3,4.5
69.8,9.5
55.5,11.9
55.3,7.9
61.7,4.1
65.4,9
57.7,8
66.2,8.5
65.7,6.8
67.8,5.8
64.5,5
69,6.7
68.6,6.4
68.5,4.2
57.2,6.6
55.9,6.8
62.5,4.6
67.1,4.4
64.1,6.4
62.8,6.5
67.7,3.9
66.6,7.2
65.9,3.7
69.8,7.6
59.5,8.2
52.7,6.8
53.8,5.7
60.4,7.7
57.2,5.8
57.8,3.9
63.3,7.3
63.1,4
62.2,3.6
61.7,2.6
65,9.9
52.5,6.7
57.4,5.2
82.2,7
76.3,7.6
78,7.4
80.8,4.3
80.2,6.4
71.8,5.3
73.8,5.7
75.5,5.2
78.2,5.5
81.2,5.4
81,6.2
83.2,5.4
84,6.4
82.6,7.3
80.5,8.9
78.4,7.9
79.5,7.8
79.8,6.6
79.2,7.4
70.3,5
73.4,8
71,6.1
73.3,3.6
77.3,3.6
80.9,6.4
72,11.3
73.5,5.1
79.6,3.8
80.2,6.2
79.3,6
77.8,6.9
79.8,5.6
79.4,5.4
80.6,4.9
80.4,5.7
78.3,5.8
74.8,8.8
57.2,6.3
59.9,8.1
64.1,4
69.5,4.5
61.5,5.4
63,4.4
65.2,5.9
46.1,12.8
46.8,10.8
50.6,10.2
51.5,8.2
60,7.8
64.1,11.8
61.9,9.5
63.4,6.4
63,5.8
61.8,5.8
63.8,5.4
63.5,3.5
64.4,3.1
65.3,2.5
67.4,4.5
68,6.8
57.9,6.7
54.1,5.8
57.1,4.5
62.2,6.8
59.3,6.4
66.8,7.8
66.9,7.6
66.5,5.4
66,6.6
52,13.1
52.3,7.4
57.3,7.5
40.9,10.6
37.1,3.9
42.7,2.5
47.7,2.8
49.6,3.2
55.8,5.4
52.8,5.2
52.3,3.8
53.5,8.3
53.9,4.2
53.5,5.1
55.5,8.8
56.7,8.7
52.1,6.6
49.5,6.2
49.5,4.5
56.5,7.4
59.7,4.9
53.6,11.8
84.9,6.4
84.9,6.3
84.8,6.5
84.1,7.9
82.7,4.9
85.3,5.7
85.2,7.3
82.3,6
79.8,4.7
80.3,4.8
82,5.1
83,5.8
80.2,8.7
77.8,6.9
71.5,7.9
75.2,4.1
79.2,4.9
81.7,6
82.9,4.3
83.1,4.8
72,4.7
75,3.4
79.8,4.8
75.6,7.9
77,6.1
78.9,8.5
76.6,7
76.9,4.2
79.1,6.1
75.7,8.4
72.7,7.3
71.3,4.5
74.5,7
72.3,7.1
76,4.3
76.8,6.5
68.2,11.3
71.7,7.5
74.1,6.6
73.8,8
56.9,10.8
60,6.7
68.1,3.6
69,4.7
72.3,5.4
66.7,9.2
68.7,5.3
71.5,10.2
67.3,5.4
68.5,9.6
62.4,4.2
63.3,3.8
64.9,3.6
56.3,9.4
46.8,3.9
55.3,4.9
68.4,7
67.1,8
64.7,7.5
53.9,8.9
46,5.4
51.9,4.1
53.4,8.5
58.9,3.5
66.7,4
66.8,3.7
65.7,6.6
57.5,7.7
51,5.6
57.6,3.5
65.2,4.2
56,10.4
39.8,9.3
48,6.5
51.3,7.4
52.3,5.4
55.9,3.6
54.8,4
57.5,5.1
61.1,5.3
60.4,6.8
52.9,8.6
51.5,5.1
49.5,3.6
50.8,6.6
56.2,7.5
54.3,11.2
43.3,11.2
45.9,5.6
52.3,10.1
47.6,10
80.8,9
82.5,5.1
86.3,3.9
87.5,9.3
83.5,9.6
82.6,4.6
85.9,4.1
81.5,10.6
58,15.6
56.8,10.9
66.2,6
72.2,4.6
77.8,6.3
71.4,7.3
72.9,4.1
78,4.2
78.4,5.8
75.8,7.3
74.9,6.8
76.2,6.5
77.1,5.7
78.9,4.9
80,6
80,4.1
83.1,4.9
83.8,8.6
83.8,8.9
67,12.4
67.9,5.3
72.5,3
75.5,6.6
76.1,6.1
75.9,6.6
73.7,7.1
77.1,4
76,3
76.7,3.6
76.4,3.2
77.2,5.1
77.2,6.2
75.9,7.2
73.7,5.9
74.9,3.2
78.8,7.7
71.4,9.8
65.9,10.9
72.3,4.4
75.7,6.3
74.3,6.1
74.5,5
73.3,3.6
75.7,7.2
69.4,7.9
67.7,6.9
76.1,8.8
52.9,14.9
32.2,8.6
42.6,7
52.7,4.8
58.6,4.5
62,3
65.3,10.3
63.9,5.3
63.8,3.7
65.9,2.4
68.7,5.4
69.6,6.1
70.5,7.5
69,8.5
62.9,10.7
51.2,4.4
53.2,3.6
58.2,4.1
60,3.5
61.1,9.6
56.7,3.6
57.9,3.5
63.7,5.7
67.5,6.9
69.2,3.8
68.5,4
67.8,5.7
61.7,10.4
64.3,8.7
59.5,10
54.1,5.8
57.3,4.5
53.1,4.8
45.6,5.2
46.9,7.7
45.2,7
74.9,6.2
79.8,5
82.1,4.8
82.6,6
77,6.2
80.7,3.9
82.7,3.8
83.1,6.3
83.7,4.8
83.9,4.3
82.8,4.1
81.9,5.7
81.4,4.9
83.6,4.2
82.3,6.2
83.6,4.7
84.5,4.4
84,5.9
84.3,6.6
83,8.8
76.4,10.5
72.8,7.2
75,6.8
75.4,4.2
74.3,6
70.2,5.2
71.9,5.8
72.1,8.2
72.8,6.8
65.2,7.3
66.5,4.3
69.2,4
74,6
75.4,5.4
76.7,6.4
77.3,4.1
76.1,5.3
77.6,4.1
80,8.1
69.4,10.7
69.7,6
73.7,13
61.7,4.9
65.1,8.2
62.3,6.7
64.1,10.1
68.9,7.4
72.7,6.2
70,6.7
68,3.4
70.2,3.2
72.8,3.4
71.8,7.7
69.5,6.6
72.3,3.3
68.9,13.1
58.4,9.9
59.8,3.7
63.2,4.1
65.9,4.5
69.4,5.9
67.1,4.5
66.6,5.5
59.8,7.4
56.3,6.1
61.9,3.1
64.5,2.8
65.6,2.6
66.6,3.2
66.1,4.9
64.1,6.5
59.6,4.1
58.2,5
59.2,4.5
60.8,4.1
62.7,6.4
63.2,9.1
