wind,pm10
7.1,17.8
7.1,22.2
6.3,22.5
6.7,24.7
9,25.4
5.4,19.2
6.4,17
6.7,16.2
6.6,22.1
11.2,34.4
5.1,31.1
8,25.1
5.2,24.5
5.1,30.9
6.5,28.9
5.1,23.8
4.1,30.6
4.1,29.2
3.5,39.9
5.9,30.7
5.6,30.1
7.3,30.7
8.6,24.6
6.3,25.6
9,35.6
10.5,18.9
5,33.6
4.9,27.6
8.6,18.7
5.6,20.9
6,15.6
5.7,24.8
7.7,20.6
7.9,22.3
5.4,23
6.1,25.6
10.8,33.6
10.6,15.7
8.3,16.2
5,29.2
4.9,30.9
4.9,32.5
6.7,38.6
4,42.1
5.5,28.5
6.1,24.2
8.6,25.1
6.9,28.2
5.9,30.7
11.7,40.4
6.1,37.3
3.7,40.5
3,44
3.4,47.6
4.9,33.4
4.3,25.3
6,33
6.1,36.7
3.4,45.1
3.8,44
5,36.6
5.9,29.7
7.5,31.5
13.6,26.1
15,22.6
7.4,28
5,24.9
5.1,21.4
9.8,23.7
8.1,21
8.1,17.9
4.9,19.7
5.9,20.9
3.7,24.4
4.3,32.9
5.2,33.5
3.6,33.4
10,53.4
7,26.1
10.2,23.9
5,28.6
6.2,34.2
8.3,21
4.4,38.8
5.5,25.8
10.5,23.3
7.1,23.5
10.3,33
13.2,35.2
11.9,18.6
3.7,23.5
6.2,35
4.4,35.1
5.3,38.9
6,29.9
7.8,32.9
7,43
4,48.8
7.2,44.6
7.8,31
8.1,25.1
6.3,29
4,42.4
6,43
7.3,28.1
6.5,31.3
5.5,27.4
5.4,29.5
7.2,30.6
7.9,33.7
7.2,30.2
6,27.4
4.7,29.9
6.9,31.5
4.8,20.3
5.9,28.5
8.8,31
10.5,14.4
9.5,15.6
10.6,16.2
8.8,16.6
6.1,22.5
5.5,28.6
5.3,31.2
9.2,21.8
7.4,24.3
6.7,24.6
3.6,38.3
8.1,34.5
9.2,36.3
10.8,23.4
7.3,28.7
4.9,40.2
4.3,39
6.9,20.6
10.3,33.5
7.5,24.7
4.3,37.1
4.3,46.1
7,30.3
7.3,26.5
8.9,26.8
3.9,26.6
5.5,30
10.9,35.3
4.5,40.5
9.5,47.2
11.9,58
7.9,31.1
4.1,32.4
9,36.7
8,35.4
8.5,29.7
6.8,28.5
5.8,24.3
5,28.7
6.7,21.4
6.4,25.7
4.2,26
6.6,25
6.8,23
4.6,35.4
4.4,25.7
6.4,25.4
6.5,39.7
3.9,39.2
7.2,28
3.7,42.7
7.6,30.9
8.2,25.4
6.8,26
5.7,32
7.7,37.2
5.8,46.5
3.9,36.9
7.3,26.8
4,40.3
3.6,47.9
2.6,59.1
9.9,34.7
6.7,35.8
5.2,39.2
7,51.1
7.6,19.3
7.4,17.1
4.3,21
6.4,30.6
5.3,19.2
5.7,20.1
5.2,22.2
5.5,26.3
5.4,28.4
6.2,31.6
5.4,38.2
6.4,34.8
7.3,26.9
8.9,22
7.9,17.5
7.8,22.1
6.6,23.2
7.4,24.1
5,18.3
8,18.1
6.1,23.9
3.6,27
3.6,36.4
6.4,29
11.3,26.2
5.1,32.4
3.8,42.5
6.2,30.9
6,26.3
6.9,26.2
5.6,22.5
5.4,37.4
4.9,26.6
5.7,26.5
5.8,24.5
8.8,28.7
6.3,17.6
8.1,17.7
4,40.9
4.5,38.3
5.4,16.6
4.4,14.6
5.9,20.4
12.8,18.3
10.8,18.1
10.2,18.2
8.2,14.8
7.8,16.7
11.8,17.7
9.5,16.2
6.4,21.2
5.8,17.2
5.8,19
5.4,22.3
3.5,30
3.1,26.6
2.5,35.5
4.5,37.1
6.8,22.2
6.7,19.8
5.8,18.8
4.5,25.3
6.8,18.1
6.4,24.9
7.8,27.9
7.6,25.1
5.4,28
6.6,24
13.1,24.4
7.4,31.7
7.5,29.3
10.6,22.3
3.9,27.7
2.5,56.5
2.8,50
3.2,43.5
5.4,34.4
5.2,44.6
3.8,37.5
8.3,25.9
4.2,49.9
5.1,41.5
8.8,19.3
8.7,20.3
6.6,23.8
6.2,39.5
4.5,38.9
7.4,34.5
4.9,33.9
11.8,59
6.4,22.8
6.3,20.3
6.5,25.6
7.9,25
4.9,26.8
5.7,25.5
7.3,28
6,34.4
4.7,22.9
4.8,21.5
5.1,19.6
5.8,20.8
8.7,26.3
6.9,18
7.9,13.2
4.1,19
4.9,15.4
6,16.8
4.3,20.2
4.8,22.8
4.7,18.7
3.4,20
4.8,16.4
7.9,18
6.1,16.7
8.5,17.3
7,19.9
4.2,20.7
6.1,19.7
8.4,29
7.3,9.3
4.5,21
7,20.8
7.1,20
4.3,18.1
6.5,15.9
11.3,24.4
7.5,25.8
6.6,21.1
8,20.6
10.8,24.8
